2011 census qs601ew - economic activity,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
population,All usual residents aged 16 to 74,,,,,,,,,,,,,,,
units,Persons,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Area,All categories: Economic activity,Active: Total,Active: Employee: Part-time,Active: Employee: Full-time,Active: Self-employed with employees: Part-time,Active: Self-employed with employees: Full-time,Active: Self-employed without employees: Part-time,Active: Self-employed without employees: Full-time,Active: Unemployed,Active: Full-time student,Inactive: Total,Inactive: Retired,Inactive: Student (including full-time students),Inactive: Looking after home or family,Inactive: Long-term sick or disabled,Inactive: Other
uacounty09:Luton,"145,208","100,272","18,407","53,271",635,"2,136","2,948","6,479","8,337","8,059","44,936","14,336","10,703","9,660","5,496","4,741"
uacounty09:Peterborough,"132,318","95,646","18,654","56,704",438,"1,946","2,627","5,001","6,691","3,585","36,672","15,323","5,104","7,270","5,484","3,491"
uacounty09:Southend-on-Sea,"125,007","88,324","17,949","47,972",451,"2,168","3,348","6,834","6,209","3,393","36,683","17,655","4,769","6,298","5,311","2,650"
uacounty09:Thurrock,"114,124","84,464","16,370","48,620",347,"1,750","2,091","5,973","6,190","3,123","29,660","13,377","3,987","5,903","4,037","2,356"
uacounty09:Cambridgeshire,"461,380","332,195","61,890","196,394","1,582","8,485","12,343","22,940","13,775","14,786","129,185","58,816","33,690","17,055","12,220","7,404"
uacounty09:Essex,"1,011,611","719,430","145,817","395,312","3,917","20,667","27,804","60,088","38,074","27,751","292,181","155,639","40,372","47,562","31,887","16,721"
uacounty09:Hertfordshire,"806,213","598,438","109,693","341,147","3,164","16,797","25,369","47,964","28,301","26,003","207,775","96,720","40,850","36,518","20,236","13,451"
uacounty09:Norfolk,"623,798","424,732","94,006","225,180","2,304","11,990","17,018","33,140","23,678","17,416","199,066","111,739","25,667","25,902","24,187","11,571"
uacounty09:Suffolk,"525,463","373,282","82,248","204,527","2,096","9,935","14,854","27,321","18,873","13,428","152,181","86,545","17,006","22,120","16,484","10,026"
uacounty09:Camden,"173,833","118,397","13,727","66,955",800,"4,333","6,542","11,629","7,755","6,656","55,436","11,908","22,734","7,874","7,663","5,257"
uacounty09:City of London,"6,307","4,972",360,"3,245",32,281,213,510,187,144,"1,335",580,363,153,116,123
uacounty09:Hackney,"187,423","133,883","21,394","68,680",935,"3,056","6,434","12,868","13,207","7,309","53,540","10,441","16,455","9,262","9,788","7,594"
uacounty09:Hammersmith and Fulham,"145,552","107,754","11,073","66,703",607,"3,078","4,927","9,252","7,060","5,054","37,798","9,135","11,919","6,645","5,670","4,429"
uacounty09:Haringey,"193,062","138,189","21,601","70,472",983,"3,849","8,266","13,715","11,730","7,573","54,873","13,391","15,945","9,604","8,448","7,485"
uacounty09:Islington,"165,149","117,488","13,596","69,852",552,"3,196","4,834","10,295","8,960","6,203","47,661","10,204","16,458","6,611","8,707","5,681"
uacounty09:Kensington and Chelsea,"126,080","87,517","8,583","51,211",808,"4,604","5,215","8,777","5,433","2,886","38,563","10,119","11,031","7,740","4,503","5,170"
uacounty09:Lambeth,"237,730","183,190","22,530","110,465",861,"3,860","7,225","14,882","14,255","9,112","54,540","13,265","16,062","8,411","9,068","7,734"
uacounty09:Lewisham,"206,255","151,793","24,079","82,776",813,"3,293","6,286","11,658","12,776","10,112","54,462","15,088","15,018","9,179","8,779","6,398"
uacounty09:Newham,"228,958","153,761","26,408","70,712","1,256","3,537","6,035","10,914","15,734","19,165","75,197","13,211","24,959","16,510","9,728","10,789"
uacounty09:Southwark,"224,551","163,859","22,225","94,675",762,"3,513","6,036","12,075","13,484","11,089","60,692","12,940","22,256","8,438","9,653","7,405"
uacounty09:Tower Hamlets,"196,552","137,233","18,852","78,031",906,"2,450","4,116","8,864","13,259","10,755","59,319","9,262","19,407","13,809","8,893","7,948"
uacounty09:Wandsworth,"243,533","189,789","18,968","123,965",881,"5,239","7,883","15,532","9,311","8,010","53,744","15,140","14,599","10,424","7,027","6,554"
uacounty09:Westminster,"175,505","120,418","12,606","72,899",996,"4,942","5,520","10,568","7,941","4,946","55,087","12,010","17,835","9,521","8,492","7,229"
uacounty09:Barking and Dagenham,"127,568","86,404","15,608","44,490",506,"1,883","3,009","6,023","9,367","5,518","41,164","10,995","9,485","9,476","6,459","4,749"
uacounty09:Barnet,"258,443","184,483","30,478","93,174","1,681","7,842","11,843","18,924","11,476","9,065","73,960","22,967","21,112","14,277","7,885","7,719"
uacounty09:Bexley,"165,914","118,864","23,072","66,838",532,"2,688","3,648","9,508","7,245","5,333","47,050","21,839","9,177","7,696","4,943","3,395"
uacounty09:Brent,"233,726","163,991","25,702","83,772","1,429","5,185","8,070","15,320","13,535","10,978","69,735","18,619","19,919","13,035","9,119","9,043"
uacounty09:Bromley,"222,539","161,282","29,012","91,506",967,"4,844","7,039","13,740","8,668","5,506","61,257","29,656","10,635","10,614","6,057","4,295"
uacounty09:Croydon,"263,048","190,308","33,112","105,621","1,082","4,685","7,169","14,084","14,512","10,043","72,740","26,079","16,641","13,265","9,272","7,483"
uacounty09:Ealing,"252,764","180,615","25,882","100,465","1,191","4,847","8,810","16,305","13,158","9,957","72,149","20,905","18,771","14,552","9,134","8,787"
uacounty09:Enfield,"224,024","153,334","29,134","77,326","1,368","4,702","6,993","12,078","13,192","8,541","70,690","22,062","17,187","13,464","9,242","8,735"
uacounty09:Greenwich,"186,722","132,073","20,697","71,844",702,"3,175","4,687","9,741","11,518","9,709","54,649","15,695","13,957","9,577","8,621","6,799"
uacounty09:Harrow,"174,751","123,307","21,423","65,492",985,"4,474","5,717","10,943","7,854","6,419","51,444","18,189","13,417","9,580","5,105","5,153"
uacounty09:Havering,"171,128","121,642","23,479","67,989",659,"3,094","4,096","10,129","7,627","4,569","49,486","24,404","7,944","8,374","5,407","3,357"
uacounty09:Hillingdon,"199,926","141,542","23,706","80,835",729,"3,402","4,704","9,812","8,693","9,661","58,384","20,310","16,788","10,311","5,886","5,089"
uacounty09:Hounslow,"190,157","137,867","20,588","79,763",878,"3,451","5,500","10,562","8,815","8,310","52,290","15,843","12,769","11,167","6,502","6,009"
uacounty09:Kingston upon Thames,"119,673","87,348","13,588","49,530",524,"2,357","3,961","7,166","3,850","6,372","32,325","11,281","10,305","5,616","2,664","2,459"
uacounty09:Merton,"149,598","112,038","16,484","65,877",659,"3,091","5,072","9,721","6,072","5,062","37,560","12,903","9,150","7,912","3,741","3,854"
uacounty09:Redbridge,"199,544","137,776","23,948","71,627","1,188","4,843","6,144","11,262","10,590","8,174","61,768","19,026","16,199","13,137","6,548","6,858"
uacounty09:Richmond upon Thames,"137,779","104,090","14,207","61,511",648,"3,632","6,240","9,947","4,153","3,752","33,689","13,794","7,383","6,979","2,802","2,731"
uacounty09:Sutton,"138,710","103,995","18,502","60,111",600,"2,635","3,981","8,603","5,429","4,134","34,715","15,461","6,454","6,238","3,904","2,658"
uacounty09:Waltham Forest,"190,978","135,015","21,889","69,385","1,033","3,371","6,509","12,777","11,654","8,397","55,963","15,335","15,209","11,429","7,166","6,824"
uacounty09:Bracknell Forest,"83,116","65,137","11,066","40,762",225,"1,249","2,112","4,581","2,808","2,334","17,979","8,496","3,007","3,450","1,770","1,256"
uacounty09:Brighton and Hove,"210,792","150,853","27,492","75,999",884,"4,191","7,985","14,181","7,818","12,303","59,939","19,625","20,567","7,249","8,813","3,685"
uacounty09:Isle of Wight,"99,747","64,218","15,728","30,353",476,"2,111","3,293","5,673","4,386","2,198","35,529","20,478","3,661","3,933","4,504","2,953"
uacounty09:Medway,"194,158","137,954","27,137","77,912",543,"2,731","3,692","9,910","9,469","6,560","56,204","24,738","9,912","10,105","7,334","4,115"
uacounty09:Milton Keynes,"181,385","137,717","23,644","84,004",537,"2,598","3,938","8,658","8,640","5,698","43,668","18,654","7,143","8,338","5,810","3,723"
uacounty09:Portsmouth,"153,705","105,834","20,626","57,743",376,"2,016","2,483","6,676","6,536","9,378","47,871","16,385","16,380","6,297","5,813","2,996"
uacounty09:Reading,"116,808","86,329","13,883","52,054",238,"1,388","2,283","5,329","5,329","5,825","30,479","10,001","9,297","5,334","3,227","2,620"
uacounty09:Slough,"100,458","73,819","11,886","43,610",388,"1,398","2,494","4,646","5,440","3,957","26,639","7,517","5,813","6,555","3,388","3,366"
uacounty09:Southampton,"180,201","123,193","22,856","68,082",450,"2,027","2,965","7,522","7,631","11,660","57,008","17,775","20,857","7,449","7,330","3,597"
uacounty09:West Berkshire,"112,054","85,401","15,567","51,084",369,"2,286","3,416","6,620","3,279","2,780","26,653","14,094","3,799","4,769","2,420","1,571"
uacounty09:Windsor and Maidenhead,"104,247","77,650","12,727","46,337",464,"2,280","3,685","6,474","3,292","2,391","26,597","13,366","4,598","5,016","1,834","1,783"
uacounty09:Wokingham,"112,273","84,912","15,282","51,260",385,"2,052","3,403","6,241","2,958","3,331","27,361","14,976","4,441","4,799","1,742","1,403"
uacounty09:Buckinghamshire,"363,773","267,881","48,249","151,064","1,697","8,549","13,539","23,290","10,887","10,606","95,892","48,349","16,339","17,245","7,360","6,599"
uacounty09:East Sussex,"374,518","254,952","55,152","125,533","1,707","8,323","14,214","26,000","13,503","10,520","119,566","66,736","14,879","15,665","15,388","6,898"
uacounty09:Hampshire,"954,975","699,397","139,162","403,763","3,331","17,309","27,288","51,518","28,508","28,518","255,578","144,936","34,057","37,867","24,979","13,739"
uacounty09:Kent,"1,055,397","737,908","149,177","399,625","4,048","21,135","29,898","59,600","41,541","32,884","317,489","159,127","50,767","49,761","37,471","20,363"
uacounty09:Oxfordshire,"482,238","350,119","64,450","205,466","1,742","9,136","14,641","24,900","13,103","16,681","132,119","57,079","38,179","17,972","10,553","8,336"
uacounty09:Surrey,"817,272","601,791","106,283","344,923","3,600","18,477","29,551","50,858","22,772","25,327","215,481","105,585","40,897","38,200","16,744","14,055"
uacounty09:West Sussex,"577,224","416,119","85,566","228,254","2,274","11,374","19,279","34,372","18,331","16,669","161,105","91,376","20,056","23,515","16,915","9,243"
uacounty09:Bath and North East Somerset,"130,550","89,752","18,818","46,367",526,"2,506","4,158","7,116","3,548","6,713","40,798","17,896","13,209","4,289","3,610","1,794"
uacounty09:Bournemouth,"137,574","96,017","18,289","51,149",513,"2,374","3,646","7,433","5,262","7,351","41,557","16,837","11,098","4,887","6,176","2,559"
"uacounty09:Bristol, City of","321,506","227,119","42,980","127,829",909,"4,352","7,308","14,537","13,817","15,387","94,387","31,534","28,932","12,556","13,973","7,392"
uacounty09:Cornwall,"388,858","259,484","59,778","123,195","1,967","10,229","14,046","26,771","12,694","10,804","129,374","73,605","16,726","15,517","16,980","6,546"
uacounty09:Isles of Scilly,"1,622","1,331",220,653,17,124,82,210,18,7,291,209,13,26,14,29
uacounty09:North Somerset,"145,352","102,607","23,117","55,596",527,"2,957","4,172","7,770","4,350","4,118","42,745","25,366","4,591","5,082","5,607","2,099"
uacounty09:Plymouth,"191,786","127,742","28,356","69,234",529,"2,429","3,245","6,913","8,136","8,900","64,044","27,019","16,060","7,482","10,042","3,441"
uacounty09:Poole,"106,391","75,720","16,215","42,040",427,"1,951","2,950","5,560","3,413","3,164","30,671","17,178","4,008","4,338","3,486","1,661"
uacounty09:South Gloucestershire,"192,468","143,198","31,453","82,489",584,"3,131","4,158","9,274","5,354","6,755","49,270","27,390","7,885","6,244","4,872","2,879"
uacounty09:Swindon,"154,080","117,039","22,137","71,912",329,"2,027","2,891","6,814","6,518","4,411","37,041","17,868","4,895","6,301","5,271","2,706"
uacounty09:Torbay,"94,000","61,795","14,782","29,537",421,"1,999","2,683","5,644","4,275","2,454","32,205","18,416","3,032","3,624","5,454","1,679"
uacounty09:Wiltshire,"339,595","250,792","50,806","143,218","1,269","6,965","10,635","19,233","9,999","8,667","88,803","49,893","11,119","13,554","9,102","5,135"
uacounty09:Devon,"541,219","371,847","84,667","181,896","2,738","14,146","20,126","37,542","15,256","15,476","169,372","98,590","25,369","18,374","18,222","8,817"
uacounty09:Dorset,"293,441","199,943","46,265","101,952","1,402","6,747","10,334","18,249","7,986","7,008","93,498","59,463","9,336","10,556","9,080","5,063"
uacounty09:Gloucestershire,"437,088","316,633","65,427","174,614","1,685","8,976","13,602","24,596","14,232","13,501","120,455","64,968","19,114","16,240","13,326","6,807"
uacounty09:Somerset,"381,185","269,768","60,626","141,278","1,561","8,545","12,705","23,971","11,350","9,732","111,417","64,972","13,422","13,935","13,317","5,771"
uacounty09:Anglesey,"50,818","33,023","6,949","17,274",247,"1,134","1,157","2,662","2,381","1,219","17,795","10,150","2,266","1,891","2,592",896
uacounty09:Gwynedd,"88,913","57,995","12,300","27,834",373,"2,464","2,326","5,766","3,176","3,756","30,918","14,561","7,814","3,062","3,867","1,614"
uacounty09:Conwy,"81,906","53,792","12,398","26,697",346,"2,077","1,948","4,773","3,362","2,191","28,114","16,178","3,453","2,684","4,363","1,436"
uacounty09:Denbighshire,"67,676","44,409","9,696","23,121",265,"1,587","1,518","3,601","2,857","1,764","23,267","12,487","3,239","2,314","4,088","1,139"
uacounty09:Flintshire,"112,325","78,957","16,875","45,785",372,"1,844","2,052","4,611","4,332","3,086","33,368","18,839","4,240","3,858","4,829","1,602"
uacounty09:Wrexham,"98,691","68,413","14,567","39,011",316,"1,740","1,692","3,797","4,128","3,162","30,278","14,983","4,409","3,799","5,269","1,818"
uacounty09:Powys,"96,069","66,846","13,955","31,210",482,"3,109","3,399","9,715","2,928","2,048","29,223","17,283","3,539","3,036","3,926","1,439"
uacounty09:Ceredigion,"57,405","35,064","6,612","15,161",218,"1,587","1,776","4,677","1,469","3,564","22,341","9,550","7,835","1,610","2,521",825
uacounty09:Pembrokeshire,"88,049","58,120","13,507","27,231",449,"2,675","2,652","6,087","3,555","1,964","29,929","16,505","3,311","3,766","4,693","1,654"
uacounty09:Carmarthenshire,"132,930","86,217","18,475","44,839",498,"2,952","2,955","8,237","4,962","3,299","46,713","24,097","5,992","5,007","9,055","2,562"
uacounty09:Swansea,"176,971","111,460","25,141","59,606",558,"2,708","2,858","5,542","6,831","8,216","65,511","27,684","15,342","6,565","12,146","3,774"
uacounty09:Neath Port Talbot,"102,986","64,110","14,335","36,977",268,"1,257","1,368","3,015","4,630","2,260","38,876","17,837","4,397","4,446","9,839","2,357"
uacounty09:Bridgend,"102,805","66,449","14,633","38,066",272,"1,495","1,556","3,411","4,687","2,329","36,356","17,204","4,228","3,986","7,899","3,039"
uacounty09:The Vale of Glamorgan,"91,816","63,384","13,657","34,955",375,"2,039","2,101","4,016","3,956","2,285","28,432","14,912","4,235","3,362","4,414","1,509"
