2011 census ks608ew to ks610ew - occupation by sex,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 15 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All usual residents aged 16 to 74 in employment the week before the census,,,,,,,,,
units,Persons,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
uacounty09:Sutton,"97,658","10,518","18,731","13,612","14,327","11,201","8,987","7,407","5,417","7,458"
uacounty09:Waltham Forest,"121,021","10,590","21,634","15,236","14,957","13,762","10,438","10,300","7,995","16,109"
uacounty09:Bracknell Forest,"61,914","8,081","11,578","9,382","7,540","6,545","5,792","4,618","2,784","5,594"
uacounty09:Brighton and Hove,"139,823","16,294","31,769","23,382","13,470","12,068","12,925","12,910","5,046","11,959"
uacounty09:Isle of Wight,"59,299","6,769","8,644","6,347","5,712","9,102","7,183","5,151","3,467","6,924"
uacounty09:Medway,"126,689","11,924","16,404","15,265","16,223","16,564","12,171","11,670","10,870","15,598"
uacounty09:Milton Keynes,"127,783","13,871","23,219","17,189","16,037","11,298","10,035","11,910","8,484","15,740"
uacounty09:Portsmouth,"96,619","8,915","15,310","12,311","10,331","11,164","9,268","10,124","6,642","12,554"
uacounty09:Reading,"79,852","7,155","19,571","10,793","8,018","7,162","6,814","7,225","4,042","9,072"
uacounty09:Slough,"67,300","5,512","10,511","7,390","7,430","6,663","6,268","6,322","6,721","10,483"
uacounty09:Southampton,"112,608","8,705","19,206","12,661","11,778","12,826","10,940","11,547","9,521","15,424"
uacounty09:West Berkshire,"81,679","10,688","16,533","11,596","9,536","9,129","7,166","5,953","4,198","6,880"
uacounty09:Windsor and Maidenhead,"73,951","12,111","16,413","13,022","7,920","6,356","5,583","4,367","2,874","5,305"
uacounty09:Wokingham,"81,377","11,531","20,883","13,298","9,495","6,765","6,132","5,431","2,864","4,978"
uacounty09:Buckinghamshire,"254,976","38,886","50,993","38,457","29,002","26,717","21,173","17,638","12,607","19,503"
uacounty09:East Sussex,"239,319","28,609","39,486","29,791","26,747","32,389","27,264","19,051","13,166","22,816"
uacounty09:Hampshire,"665,466","81,490","120,731","93,553","78,997","77,239","60,441","51,754","38,303","62,958"
uacounty09:Kent,"688,434","79,504","110,988","87,041","80,621","84,252","67,451","58,242","46,284","74,051"
uacounty09:Oxfordshire,"334,419","40,035","76,031","45,430","34,612","35,910","27,715","23,022","19,202","32,462"
uacounty09:Surrey,"574,526","83,868","124,638","90,166","69,012","55,543","49,218","37,176","23,677","41,228"
uacounty09:West Sussex,"394,689","48,030","65,316","52,278","45,986","45,598","43,565","32,039","22,246","39,631"
uacounty09:Bath and North East Somerset,"84,858","9,698","18,637","10,587","9,295","9,473","7,249","6,850","4,380","8,689"
uacounty09:Bournemouth,"89,186","9,926","14,625","11,366","9,541","10,134","9,200","9,288","5,005","10,101"
"uacounty09:Bristol, City of","209,995","18,103","47,493","28,688","23,299","20,104","17,934","18,315","12,107","23,952"
uacounty09:Cornwall,"244,527","27,985","33,767","25,455","23,320","41,511","25,798","20,094","17,369","29,228"
uacounty09:Isles of Scilly,"1,311",261,121,118,110,258,143,56,71,173
uacounty09:North Somerset,"97,563","11,897","16,808","12,908","11,305","11,026","9,592","8,534","6,114","9,379"
uacounty09:Plymouth,"117,466","9,508","16,170","14,638","13,201","15,317","12,914","12,497","8,647","14,574"
uacounty09:Poole,"71,709","8,343","11,824","8,611","8,468","9,427","6,648","6,518","4,711","7,159"
uacounty09:South Gloucestershire,"136,531","14,169","23,682","16,740","19,070","16,781","11,637","12,497","8,650","13,305"
uacounty09:Swindon,"109,499","10,444","17,031","13,782","13,094","11,704","8,890","10,481","9,633","14,440"
uacounty09:Torbay,"56,912","6,758","7,004","5,799","5,814","8,077","7,282","5,379","3,721","7,078"
uacounty09:Wiltshire,"239,216","29,672","39,957","34,876","26,074","29,613","21,914","17,595","15,323","24,192"
uacounty09:Devon,"353,913","40,347","56,590","39,001","35,269","54,860","36,240","29,529","22,554","39,523"
uacounty09:Dorset,"190,903","23,230","29,984","23,122","20,546","28,732","19,230","14,382","11,550","20,127"
uacounty09:Gloucestershire,"300,040","34,609","51,220","36,829","37,015","37,458","28,194","22,762","21,059","30,894"
uacounty09:Somerset,"256,755","28,124","37,894","27,908","26,186","38,505","27,439","20,712","20,333","29,654"
uacounty09:Anglesey,"30,431","2,968","4,656","3,090","3,012","5,092","3,542","2,388","2,294","3,389"
uacounty09:Gwynedd,"53,961","5,549","8,572","5,060","4,827","9,016","6,301","4,219","3,724","6,693"
uacounty09:Conwy,"50,093","5,822","7,811","5,255","4,847","7,239","6,107","4,456","3,048","5,508"
uacounty09:Denbighshire,"41,156","4,081","6,640","4,139","4,002","6,008","5,455","3,091","3,030","4,710"
uacounty09:Flintshire,"74,049","6,851","10,100","8,050","8,045","10,379","7,094","6,633","8,237","8,660"
uacounty09:Wrexham,"63,614","5,339","9,079","6,279","6,674","8,472","6,711","5,408","7,723","7,929"
uacounty09:Powys,"63,653","6,697","8,979","5,658","5,984","13,499","6,450","4,118","4,928","7,340"
uacounty09:Ceredigion,"32,446","3,119","5,431","3,021","3,189","6,287","3,255","2,407","1,920","3,817"
uacounty09:Pembrokeshire,"54,217","5,616","7,080","5,468","4,811","10,202","6,322","4,394","4,073","6,251"
uacounty09:Carmarthenshire,"80,680","7,355","12,203","7,841","8,446","13,189","8,965","7,026","6,552","9,103"
uacounty09:Swansea,"102,793","8,893","17,694","11,020","13,457","11,472","10,013","11,257","6,690","12,297"
uacounty09:Neath Port Talbot,"58,980","4,570","7,618","5,875","7,573","7,880","6,670","5,328","5,902","7,564"
uacounty09:Bridgend,"61,259","5,586","9,175","6,953","6,524","7,724","6,520","5,893","5,464","7,420"
uacounty09:The Vale of Glamorgan,"58,978","6,581","10,800","8,288","7,174","6,463","6,035","5,194","3,208","5,235"
uacounty09:Cardiff,"159,614","14,400","35,984","21,457","19,005","12,946","13,495","17,334","7,767","17,226"
"uacounty09:Rhondda, Cynon, Taff","99,327","7,756","13,826","10,216","11,314","12,922","11,742","8,940","9,766","12,845"
uacounty09:Merthyr Tydfil,"25,099","1,785","3,183","2,471","2,741","3,232","2,758","2,528","2,563","3,838"
uacounty09:Caerphilly,"77,488","6,258","9,830","8,366","9,934","9,890","7,909","7,123","8,357","9,821"
uacounty09:Blaenau Gwent,"28,291","1,942","3,086","2,390","2,676","3,718","3,720","2,467","3,873","4,419"
uacounty09:Torfaen,"40,261","3,178","5,128","4,293","4,921","5,378","4,493","3,781","4,113","4,976"
uacounty09:Monmouthshire,"42,817","5,464","8,697","4,985","4,199","5,545","3,706","2,946","2,491","4,784"
uacounty09:Newport,"64,408","5,992","9,812","7,071","8,052","6,724","6,204","6,461","5,270","8,822"
ualad09:Darlington,"49,014","4,639","7,447","5,741","5,886","5,808","4,832","5,461","3,562","5,638"
ualad09:County Durham,"227,894","20,169","33,042","24,335","25,774","28,753","23,446","21,042","23,243","28,090"
ualad09:Hartlepool,"37,767","3,035","4,921","3,958","3,853","5,126","4,359","3,880","3,879","4,756"
ualad09:Middlesbrough,"54,547","3,884","7,247","5,177","5,541","6,437","6,646","6,077","5,483","8,055"
ualad09:Northumberland,"146,901","15,459","22,807","16,827","16,891","19,038","15,579","12,688","11,390","16,222"
ualad09:Redcar and Cleveland,"56,354","4,370","7,420","6,076","6,087","7,702","6,834","5,317","5,369","7,179"
ualad09:Stockton-on-Tees,"87,122","7,894","13,885","10,330","9,887","10,139","8,523","9,129","7,280","10,055"
ualad09:Gateshead,"91,877","7,720","13,979","10,437","11,925","10,484","8,667","10,206","7,586","10,873"
ualad09:Newcastle upon Tyne,"119,335","9,556","24,317","12,916","13,505","11,237","10,739","13,609","7,466","15,990"
ualad09:North Tyneside,"96,026","8,205","16,953","11,624","13,912","10,077","8,662","10,312","6,613","9,668"
ualad09:South Tyneside,"64,622","5,031","8,545","7,097","8,480","8,174","6,738","6,862","6,120","7,575"
ualad09:Sunderland,"121,511","9,278","14,842","12,076","15,464","14,679","12,137","14,959","11,969","16,107"
ualad09:Blackburn with Darwen,"60,523","5,670","8,482","5,718","6,702","7,176","6,823","5,992","6,791","7,169"
ualad09:Blackpool,"61,419","6,832","6,330","5,546","8,351","7,184","7,537","6,200","4,848","8,591"
ualad09:Cheshire East,"181,136","24,551","35,525","23,592","18,819","18,711","16,059","13,650","11,849","18,380"
ualad09:Cheshire West and Chester,"160,138","18,672","29,045","19,767","16,853","17,003","14,320","14,739","11,906","17,833"
ualad09:Halton,"57,577","4,705","6,864","6,354","6,818","6,127","5,466","7,090","6,235","7,918"
ualad09:Warrington,"100,856","11,178","18,256","13,081","11,716","9,610","8,628","9,885","6,872","11,630"
ualad09:Allerdale,"46,076","4,663","6,034","4,179","4,284","7,766","4,617","4,001","4,741","5,791"
ualad09:Barrow-in-Furness,"31,257","2,345","4,598","3,211","3,152","5,088","3,601","3,050","2,533","3,679"
