2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
uacounty09:Peterborough,"74,023",453,"1,841","7,775","12,373","19,651","15,089","7,449","4,843","4,549"
uacounty09:Southend-on-Sea,"74,678",801,"2,776","9,972","15,648","16,292","14,033","7,786","4,273","3,097"
uacounty09:Thurrock,"62,353",253,"1,477","7,128","11,981","20,213","12,281","4,851","2,440","1,729"
uacounty09:Cambridgeshire,"251,241","1,467","6,076","19,862","41,889","55,922","47,155","29,801","22,573","26,496"
uacounty09:Essex,"581,589","2,226","12,625","52,396","106,259","142,548","110,268","65,415","43,749","46,103"
uacounty09:Hertfordshire,"453,817","2,215","13,065","49,990","81,203","102,538","86,428","49,015","32,730","36,633"
uacounty09:Norfolk,"372,085","1,138","6,214","26,379","65,791","94,623","76,536","42,193","28,128","31,083"
uacounty09:Suffolk,"310,745","1,062","5,908","22,866","51,448","78,493","64,922","35,002","24,074","26,970"
uacounty09:Camden,"97,534","6,116","12,241","23,651","24,696","15,362","6,636","3,151","2,299","3,382"
uacounty09:City of London,"4,385",373,870,"1,357","1,086",366,175,86,38,34
uacounty09:Hackney,"101,690","4,367","10,394","25,619","27,376","18,542","7,620","3,483","2,238","2,051"
uacounty09:Hammersmith and Fulham,"80,590","3,651","7,336","19,981","20,696","13,113","7,365","3,805","2,304","2,339"
uacounty09:Haringey,"101,955","4,393","8,230","21,306","25,680","18,187","11,183","5,688","3,733","3,555"
uacounty09:Islington,"93,556","3,320","10,921","26,028","25,333","14,722","6,130","3,100","2,063","1,939"
uacounty09:Kensington and Chelsea,"78,536","5,249","9,181","18,429","20,428","10,842","5,297","3,023","2,195","3,892"
uacounty09:Lambeth,"130,017","4,043","10,779","29,451","36,545","24,163","12,038","5,809","3,665","3,524"
uacounty09:Lewisham,"116,091","2,453","8,243","22,907","31,264","23,961","15,023","6,222","3,292","2,726"
uacounty09:Newham,"101,519","2,201","7,405","21,103","24,740","24,801","13,165","4,696","2,131","1,277"
uacounty09:Southwark,"120,422","3,373","10,624","31,167","34,008","22,174","9,709","4,287","2,582","2,498"
uacounty09:Tower Hamlets,"101,257","2,761","11,303","27,608","31,026","18,024","6,546","2,180","1,022",787
uacounty09:Wandsworth,"130,493","2,473","9,125","27,297","36,229","23,918","14,341","7,635","4,419","5,056"
uacounty09:Westminster,"105,772","5,661","14,088","28,089","28,759","15,556","5,908","2,793","1,863","3,055"
uacounty09:Barking and Dagenham,"69,681",629,"2,993","10,605","19,594","21,598","9,815","2,655","1,165",627
uacounty09:Barnet,"135,916","3,047","6,846","17,983","32,470","24,959","21,046","12,762","8,281","8,522"
