2011 census qs405ew - tenure - households,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Area,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household,Private rented: Other,Living rent free
uacounty09:Hampshire,"545,254","389,765","188,397","201,368","5,154","75,257","26,078","49,179","68,326","57,616","3,913","4,325","2,472","6,752"
uacounty09:Kent,"605,638","407,570","200,638","206,932","5,776","84,127","35,294","48,833","100,182","91,250","1,767","5,592","1,573","7,983"
uacounty09:Oxfordshire,"258,855","169,528","83,521","86,007","2,923","36,833","11,788","25,045","45,207","39,292","2,304","1,987","1,624","4,364"
uacounty09:Surrey,"455,791","332,184","158,719","173,465","4,663","52,086","22,558","29,528","61,409","55,472","1,898","2,861","1,178","5,449"
uacounty09:West Sussex,"345,614","244,051","125,729","118,322","2,904","44,144","16,870","27,274","49,831","45,249","1,006","2,837",739,"4,684"
uacounty09:Bath and North East Somerset,"73,515","49,068","25,827","23,241",368,"10,614","2,528","8,086","12,447","11,408",128,735,176,"1,018"
uacounty09:Bournemouth,"82,374","47,057","22,820","24,237",569,"9,206","4,895","4,311","24,685","23,234",138,"1,100",213,857
"uacounty09:Bristol, City of","182,747","98,708","44,928","53,780","1,385","37,083","26,494","10,589","43,028","40,401",232,"1,984",411,"2,543"
uacounty09:Cornwall,"230,389","158,524","92,113","66,411","1,757","27,655","12,833","14,822","38,605","33,938",815,"3,185",667,"3,848"
uacounty09:Isles of Scilly,989,412,313,99,8,179,121,58,294,204,36,13,41,96
uacounty09:North Somerset,"88,227","64,365","32,474","31,891",542,"8,103","3,104","4,999","14,270","13,058",129,958,125,947
uacounty09:Plymouth,"109,307","64,157","29,763","34,394",841,"21,095","9,403","11,692","22,026","19,431",687,"1,315",593,"1,188"
uacounty09:Poole,"63,530","44,702","22,719","21,983",557,"7,324","4,143","3,181","10,275","9,293",210,643,129,672
uacounty09:South Gloucestershire,"107,538","80,586","37,050","43,536",497,"10,633","2,063","8,570","14,600","13,124",233,"1,039",204,"1,222"
uacounty09:Swindon,"88,360","57,902","22,749","35,153","1,118","14,382","10,269","4,113","14,169","13,020",135,861,153,789
uacounty09:Torbay,"59,010","39,424","21,503","17,921",554,"4,762",505,"4,257","13,696","12,647",65,879,105,574
uacounty09:Wiltshire,"194,194","131,083","65,734","65,349","1,463","28,591","7,604","20,987","29,968","22,903","3,295","1,550","2,220","3,089"
uacounty09:Devon,"322,644","226,481","130,281","96,200","2,605","36,042","15,433","20,609","52,581","47,113","1,017","3,684",767,"4,935"
uacounty09:Dorset,"180,213","129,837","77,407","52,430","1,206","22,268","2,878","19,390","24,057","20,851","1,063","1,514",629,"2,845"
uacounty09:Gloucestershire,"254,615","176,743","90,327","86,416","2,159","32,853","14,958","17,895","39,175","35,199",930,"2,325",721,"3,685"
uacounty09:Somerset,"226,989","157,909","85,778","72,131","1,487","30,730","13,421","17,309","33,258","29,405",801,"2,421",631,"3,605"
uacounty09:Anglesey,"30,594","20,971","12,444","8,527",63,"4,487","3,899",588,"4,324","3,699",104,410,111,749
uacounty09:Gwynedd,"52,473","34,324","21,168","13,156",171,"8,561","4,385","4,176","8,060","6,978",134,775,173,"1,357"
uacounty09:Conwy,"51,177","35,501","20,409","15,092",378,"5,946","2,592","3,354","8,534","7,729",67,624,114,818
uacounty09:Denbighshire,"40,546","27,792","14,937","12,855",267,"5,325","3,283","2,042","6,446","5,798",83,502,63,716
uacounty09:Flintshire,"63,781","46,451","22,397","24,054",340,"9,651","7,209","2,442","6,729","5,914",53,676,86,610
uacounty09:Wrexham,"57,029","36,272","17,364","18,908",211,"12,803","10,942","1,861","6,775","6,062",70,568,75,968
uacounty09:Powys,"58,345","40,090","25,626","14,464",179,"8,161","5,371","2,790","8,638","7,522",207,742,167,"1,277"
uacounty09:Ceredigion,"31,562","21,323","13,821","7,502",110,"3,196","1,008","2,188","6,275","5,653",62,409,151,658
uacounty09:Pembrokeshire,"53,122","36,558","22,307","14,251",140,"8,312","5,822","2,490","7,188","6,180",196,682,130,924
uacounty09:Carmarthenshire,"78,829","56,326","32,648","23,678",178,"11,672","8,833","2,839","9,301","8,196",98,851,156,"1,352"
uacounty09:Swansea,"103,497","66,259","34,576","31,683",308,"19,878","13,104","6,774","15,260","13,688",89,"1,245",238,"1,792"
uacounty09:Neath Port Talbot,"60,393","41,479","21,976","19,503",111,"11,545","7,496","4,049","6,186","5,404",41,655,86,"1,072"
uacounty09:Bridgend,"58,515","42,348","20,459","21,889",143,"8,099","2,332","5,767","7,188","6,310",54,713,111,737
uacounty09:The Vale of Glamorgan,"53,505","38,647","18,954","19,693",125,"6,354","4,025","2,329","7,813","6,780",226,630,177,566
uacounty09:Cardiff,"142,557","84,262","37,788","46,474",639,"24,374","13,547","10,827","31,220","28,972",145,"1,717",386,"2,062"
"uacounty09:Rhondda, Cynon, Taff","99,663","70,760","36,338","34,422",150,"13,673","6,836","6,837","13,604","12,334",45,"1,088",137,"1,476"
uacounty09:Merthyr Tydfil,"24,264","15,843","8,277","7,566",42,"5,118","2,379","2,739","2,809","2,500",25,232,52,452
uacounty09:Caerphilly,"74,479","51,632","24,188","27,444",216,"13,962","10,464","3,498","7,995","7,178",32,712,73,674
uacounty09:Blaenau Gwent,"30,416","18,884","10,019","8,865",40,"7,284","3,364","3,920","3,892","3,480",19,303,90,316
uacounty09:Torfaen,"38,524","25,518","12,176","13,342",199,"9,100","3,840","5,260","3,315","2,894",16,331,74,392
uacounty09:Monmouthshire,"38,233","28,142","15,269","12,873",141,"5,288","1,590","3,698","4,130","3,651",68,347,64,532
uacounty09:Newport,"61,172","39,272","18,229","21,043",325,"12,122","5,981","6,141","8,572","7,870",54,510,138,881
ualad09:Darlington,"46,670","30,289","13,810","16,479",178,"7,228","5,238","1,990","8,513","7,758",112,546,97,462
ualad09:County Durham,"223,803","147,347","69,435","77,912",488,"45,004","28,559","16,445","28,142","25,498",185,"2,121",338,"2,822"
ualad09:Hartlepool,"40,434","24,194","11,090","13,104",200,"9,515","4,016","5,499","5,971","5,525",26,349,71,554
ualad09:Middlesbrough,"57,203","32,723","15,200","17,523",336,"13,654","6,049","7,605","9,509","8,648",98,570,193,981
ualad09:Northumberland,"138,534","91,207","46,086","45,121",510,"25,841","14,820","11,021","18,417","16,225",434,"1,388",370,"2,559"
ualad09:Redcar and Cleveland,"59,605","39,705","19,806","19,899",256,"11,568","5,999","5,569","7,434","6,698",55,578,103,642
ualad09:Stockton-on-Tees,"79,159","54,225","23,285","30,940",255,"13,625","7,285","6,340","10,387","9,417",41,788,141,667
ualad09:Gateshead,"89,154","51,915","23,081","28,834",363,"24,941","19,985","4,956","11,125","10,130",47,844,104,810
ualad09:Newcastle upon Tyne,"117,153","57,955","26,258","31,697",489,"34,850","27,340","7,510","22,318","20,462",113,"1,236",507,"1,541"
ualad09:North Tyneside,"91,295","59,136","25,611","33,525",374,"19,677","14,610","5,067","11,300","10,146",77,969,108,808
ualad09:South Tyneside,"67,167","38,333","17,003","21,330",297,"21,204","16,967","4,237","6,758","6,040",41,597,80,575
ualad09:Sunderland,"119,758","71,566","32,419","39,147",352,"32,399","16,725","15,674","14,552","13,077",91,"1,053",331,889
ualad09:Blackburn with Darwen,"57,353","36,793","18,039","18,754",290,"10,391","3,228","7,163","8,993","8,113",72,618,190,886
ualad09:Blackpool,"64,367","39,650","19,318","20,332",239,"6,999","4,823","2,176","16,770","15,549",62,"1,062",97,709
ualad09:Cheshire East,"159,441","118,766","59,846","58,920",779,"18,141","4,285","13,856","19,938","18,244",223,"1,200",271,"1,817"
ualad09:Cheshire West and Chester,"141,442","100,105","49,129","50,976","1,088","20,808","10,482","10,326","17,734","16,021",313,"1,100",300,"1,707"
ualad09:Halton,"53,312","33,796","14,436","19,360",322,"13,441","2,502","10,939","5,212","4,752",14,376,70,541
ualad09:Warrington,"85,140","60,915","27,206","33,709",637,"13,318","6,147","7,171","9,549","8,683",52,718,96,721
ualad09:Allerdale,"42,345","29,217","16,686","12,531",200,"8,088","1,123","6,965","4,142","3,595",68,397,82,698
ualad09:Barrow-in-Furness,"31,224","22,938","11,423","11,515",36,"3,454","2,704",750,"4,442","4,005",49,332,56,354
ualad09:Carlisle,"48,342","32,999","16,754","16,245",332,"7,394","1,283","6,111","6,914","6,221",104,493,96,703
ualad09:Copeland,"30,536","21,671","11,315","10,356",96,"5,668","2,172","3,496","2,665","2,315",51,243,56,436
ualad09:Eden,"23,043","16,258","10,048","6,210",211,"2,321",307,"2,014","3,685","3,216",103,310,56,568
ualad09:South Lakeland,"46,552","33,967","20,793","13,174",231,"4,853","3,172","1,681","6,633","5,831",176,530,96,868
ualad09:Bolton,"116,371","74,170","35,378","38,792",605,"23,825","16,575","7,250","15,930","14,555",73,"1,094",208,"1,841"
ualad09:Bury,"78,113","54,395","24,839","29,556",247,"11,703","7,314","4,389","10,774","9,859",44,780,91,994
ualad09:Manchester,"204,969","77,395","31,145","46,250","1,481","64,682","27,585","37,097","58,170","55,043",167,"2,153",807,"3,241"
ualad09:Oldham,"89,703","58,259","27,193","31,066",352,"18,918","8,708","10,210","10,944","9,676",57,"1,018",193,"1,230"
