2011 census qs405ew - tenure - households,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,
,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Area,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household,Private rented: Other,Living rent free
ualad09:Rushmoor,"36,344","23,089","8,434","14,655",647,"5,927",771,"5,156","6,379","4,607",777,332,663,302
ualad09:Test Valley,"47,626","33,501","16,412","17,089",311,"6,854","2,115","4,739","6,128","4,964",550,352,262,832
ualad09:Winchester,"46,865","31,646","16,385","15,261",426,"7,243","4,970","2,273","6,604","5,617",402,348,237,946
ualad09:Ashford,"47,787","32,685","15,200","17,485",638,"6,915","4,702","2,213","6,849","6,173",115,460,101,700
ualad09:Canterbury,"60,771","40,107","21,578","18,529",500,"7,409","5,039","2,370","11,876","10,665",252,697,262,879
ualad09:Dartford,"40,081","26,819","11,012","15,807",537,"5,947","4,338","1,609","6,385","6,003",41,291,50,393
ualad09:Dover,"48,310","32,142","17,034","15,108",245,"6,864","4,277","2,587","8,254","7,394",160,526,174,805
ualad09:Gravesham,"40,431","26,099","12,408","13,691",305,"7,008","5,628","1,380","6,524","6,108",44,302,70,495
ualad09:Maidstone,"63,447","44,700","20,885","23,815",671,"8,066","1,495","6,571","9,256","8,264",232,556,204,754
ualad09:Sevenoaks,"47,020","34,200","17,642","16,558",798,"6,218",800,"5,418","5,057","4,547",167,253,90,747
ualad09:Shepway,"47,379","30,715","16,744","13,971",214,"5,311","3,284","2,027","10,520","9,557",184,549,230,619
ualad09:Swale,"55,585","37,951","17,444","20,507",569,"7,942","1,216","6,726","8,446","7,735",96,515,100,677
ualad09:Thanet,"59,513","36,907","19,903","17,004",206,"7,537","3,019","4,518","14,151","13,072",167,777,135,712
ualad09:Tonbridge and Malling,"48,140","34,246","15,677","18,569",717,"7,762",930,"6,832","4,869","4,320",167,299,83,546
ualad09:Tunbridge Wells,"47,174","30,999","15,111","15,888",376,"7,148",566,"6,582","7,995","7,412",142,367,74,656
ualad09:Cherwell,"56,728","39,303","17,512","21,791",443,"6,872","1,453","5,419","9,206","8,304",233,469,200,904
ualad09:Oxford,"55,375","25,873","13,277","12,596",959,"11,828","7,513","4,315","15,634","14,458",277,524,375,"1,081"
ualad09:South Oxfordshire,"54,104","39,461","20,113","19,348",459,"6,163",854,"5,309","7,211","5,999",541,354,317,810
ualad09:Vale of White Horse,"49,407","34,750","17,704","17,046",514,"6,583","1,230","5,353","6,733","5,423",625,304,381,827
ualad09:West Oxfordshire,"43,241","30,141","14,915","15,226",548,"5,387",738,"4,649","6,423","5,108",628,336,351,742
ualad09:Elmbridge,"52,922","38,660","18,119","20,541",393,"5,218","1,124","4,094","8,006","7,478",129,328,71,645
ualad09:Epsom and Ewell,"29,784","22,931","10,969","11,962",257,"2,390",166,"2,224","3,962","3,628",91,209,34,244
ualad09:Guildford,"53,973","37,148","18,204","18,944",702,"6,908","4,928","1,980","8,522","7,426",399,351,346,693
ualad09:Mole Valley,"35,828","26,362","14,011","12,351",331,"4,373",531,"3,842","4,270","3,795",143,244,88,492
ualad09:Reigate and Banstead,"55,423","40,486","18,393","22,093",673,"6,605","1,345","5,260","7,169","6,653",81,357,78,490
ualad09:Runnymede,"32,714","22,731","10,827","11,904",326,"4,210","2,897","1,313","4,974","4,492",173,195,114,473
ualad09:Spelthorne,"39,512","28,671","13,403","15,268",540,"4,911",636,"4,275","5,004","4,633",79,245,47,386
ualad09:Surrey Heath,"33,546","25,769","11,668","14,101",269,"3,089",394,"2,695","4,073","3,420",309,173,171,346
ualad09:Tandridge,"33,342","25,302","12,074","13,228",313,"3,610","2,567","1,043","3,666","3,236",158,211,61,451
ualad09:Waverley,"49,280","36,295","18,572","17,723",491,"6,068","4,662","1,406","5,577","4,966",231,290,90,849
ualad09:Woking,"39,467","27,829","12,479","15,350",368,"4,704","3,308","1,396","6,186","5,745",105,258,78,380
ualad09:Adur,"26,957","19,883","10,191","9,692",154,"3,523","2,652",871,"3,079","2,762",29,266,22,318
ualad09:Arun,"66,706","49,254","28,581","20,673",566,"5,886","3,225","2,661","10,211","9,427",95,579,110,789
ualad09:Chichester,"49,848","33,481","20,210","13,271",455,"7,407","1,084","6,323","7,423","6,356",403,397,267,"1,082"
ualad09:Crawley,"42,727","25,228","9,480","15,748",588,"10,194","7,954","2,240","6,214","5,789",43,319,63,503
ualad09:Horsham,"54,923","40,926","20,486","20,440",363,"6,347",672,"5,675","6,480","5,772",222,387,99,807
ualad09:Mid Sussex,"57,409","42,658","20,408","22,250",561,"6,092",295,"5,797","7,322","6,719",149,375,79,776
ualad09:Worthing,"47,044","32,621","16,373","16,248",217,"4,695",988,"3,707","9,102","8,424",65,514,99,409
ualad09:Bath and North East Somerset,"73,515","49,068","25,827","23,241",368,"10,614","2,528","8,086","12,447","11,408",128,735,176,"1,018"
ualad09:Bournemouth,"82,374","47,057","22,820","24,237",569,"9,206","4,895","4,311","24,685","23,234",138,"1,100",213,857
"ualad09:Bristol, City of","182,747","98,708","44,928","53,780","1,385","37,083","26,494","10,589","43,028","40,401",232,"1,984",411,"2,543"
ualad09:Cornwall,"230,389","158,524","92,113","66,411","1,757","27,655","12,833","14,822","38,605","33,938",815,"3,185",667,"3,848"
ualad09:Isles of Scilly,989,412,313,99,8,179,121,58,294,204,36,13,41,96
ualad09:North Somerset,"88,227","64,365","32,474","31,891",542,"8,103","3,104","4,999","14,270","13,058",129,958,125,947
ualad09:Plymouth,"109,307","64,157","29,763","34,394",841,"21,095","9,403","11,692","22,026","19,431",687,"1,315",593,"1,188"
ualad09:Poole,"63,530","44,702","22,719","21,983",557,"7,324","4,143","3,181","10,275","9,293",210,643,129,672
ualad09:South Gloucestershire,"107,538","80,586","37,050","43,536",497,"10,633","2,063","8,570","14,600","13,124",233,"1,039",204,"1,222"
ualad09:Swindon,"88,360","57,902","22,749","35,153","1,118","14,382","10,269","4,113","14,169","13,020",135,861,153,789
ualad09:Torbay,"59,010","39,424","21,503","17,921",554,"4,762",505,"4,257","13,696","12,647",65,879,105,574
ualad09:Wiltshire,"194,194","131,083","65,734","65,349","1,463","28,591","7,604","20,987","29,968","22,903","3,295","1,550","2,220","3,089"
ualad09:East Devon,"59,071","44,283","27,837","16,446",319,"5,515","3,915","1,600","8,041","7,034",215,631,161,913
ualad09:Exeter,"49,242","29,443","14,809","14,634",470,"8,386","4,769","3,617","10,336","9,633",87,534,82,607
ualad09:Mid Devon,"32,758","22,626","12,206","10,420",305,"4,135","2,843","1,292","5,091","4,605",108,324,54,601
ualad09:North Devon,"40,001","27,383","15,638","11,745",271,"4,316",971,"3,345","7,341","6,377",261,508,195,690
ualad09:South Hams,"36,858","26,440","15,775","10,665",400,"4,195",642,"3,553","5,259","4,638",106,424,91,564
ualad09:Teignbridge,"54,003","39,678","22,015","17,663",495,"4,813","1,169","3,644","8,358","7,526",107,636,89,659
ualad09:Torridge,"27,986","19,998","11,998","8,000",197,"2,524",542,"1,982","4,746","4,275",69,363,39,521
ualad09:West Devon,"22,725","16,630","10,003","6,627",148,"2,158",582,"1,576","3,409","3,025",64,264,56,380
ualad09:Christchurch,"21,475","15,967","9,814","6,153",182,"2,784",200,"2,584","2,321","2,115",25,164,17,221
ualad09:East Dorset,"37,564","30,371","18,017","12,354",111,"3,120",292,"2,828","3,471","3,028",112,228,103,491
ualad09:North Dorset,"28,670","20,002","11,286","8,716",217,"3,865",282,"3,583","4,094","3,247",390,246,211,492
ualad09:Purbeck,"19,583","13,613","8,306","5,307",165,"2,446",444,"2,002","3,005","2,391",287,180,147,354
ualad09:West Dorset,"44,386","30,823","19,563","11,260",370,"6,159",367,"5,792","6,093","5,419",211,369,94,941
ualad09:Weymouth and Portland,"28,535","19,061","10,421","8,640",161,"3,894","1,293","2,601","5,073","4,651",38,327,57,346
ualad09:Cheltenham,"50,929","32,879","16,363","16,516",360,"6,227","4,091","2,136","10,925","10,260",51,534,80,538
ualad09:Cotswold,"36,236","23,803","13,691","10,112",441,"5,388",623,"4,765","5,518","4,767",305,289,157,"1,086"
ualad09:Forest of Dean,"34,167","25,371","13,966","11,405",186,"4,237",773,"3,464","3,835","3,261",127,326,121,538
ualad09:Gloucester,"50,363","33,858","14,729","19,129",557,"6,714","3,921","2,793","8,755","8,012",107,525,111,479
ualad09:Stroud,"47,794","34,988","18,187","16,801",285,"6,097","4,823","1,274","5,791","5,288",84,353,66,633
ualad09:Tewkesbury,"35,126","25,844","13,391","12,453",330,"4,190",727,"3,463","4,351","3,611",256,298,186,411
ualad09:Mendip,"46,157","32,438","17,387","15,051",349,"5,473","1,320","4,153","7,136","6,449",115,503,69,761
ualad09:Sedgemoor,"48,801","34,802","18,320","16,482",273,"5,951","3,670","2,281","7,113","6,380",93,556,84,662
ualad09:South Somerset,"69,501","48,855","26,718","22,137",542,"9,697","2,811","6,886","9,272","7,881",398,721,272,"1,135"
ualad09:Taunton Deane,"46,907","31,393","16,329","15,064",251,"7,321","5,439","1,882","7,227","6,506",126,458,137,715
ualad09:West Somerset,"15,623","10,421","7,024","3,397",72,"2,288",181,"2,107","2,510","2,189",69,183,69,332
ualad09:Anglesey,"30,594","20,971","12,444","8,527",63,"4,487","3,899",588,"4,324","3,699",104,410,111,749
ualad09:Gwynedd,"52,473","34,324","21,168","13,156",171,"8,561","4,385","4,176","8,060","6,978",134,775,173,"1,357"
ualad09:Conwy,"51,177","35,501","20,409","15,092",378,"5,946","2,592","3,354","8,534","7,729",67,624,114,818
ualad09:Denbighshire,"40,546","27,792","14,937","12,855",267,"5,325","3,283","2,042","6,446","5,798",83,502,63,716
ualad09:Flintshire,"63,781","46,451","22,397","24,054",340,"9,651","7,209","2,442","6,729","5,914",53,676,86,610
ualad09:Wrexham,"57,029","36,272","17,364","18,908",211,"12,803","10,942","1,861","6,775","6,062",70,568,75,968
ualad09:Powys,"58,345","40,090","25,626","14,464",179,"8,161","5,371","2,790","8,638","7,522",207,742,167,"1,277"
ualad09:Ceredigion,"31,562","21,323","13,821","7,502",110,"3,196","1,008","2,188","6,275","5,653",62,409,151,658
ualad09:Pembrokeshire,"53,122","36,558","22,307","14,251",140,"8,312","5,822","2,490","7,188","6,180",196,682,130,924
ualad09:Carmarthenshire,"78,829","56,326","32,648","23,678",178,"11,672","8,833","2,839","9,301","8,196",98,851,156,"1,352"
ualad09:Swansea,"103,497","66,259","34,576","31,683",308,"19,878","13,104","6,774","15,260","13,688",89,"1,245",238,"1,792"
ualad09:Neath Port Talbot,"60,393","41,479","21,976","19,503",111,"11,545","7,496","4,049","6,186","5,404",41,655,86,"1,072"
ualad09:Bridgend,"58,515","42,348","20,459","21,889",143,"8,099","2,332","5,767","7,188","6,310",54,713,111,737
ualad09:The Vale of Glamorgan,"53,505","38,647","18,954","19,693",125,"6,354","4,025","2,329","7,813","6,780",226,630,177,566
ualad09:Cardiff,"142,557","84,262","37,788","46,474",639,"24,374","13,547","10,827","31,220","28,972",145,"1,717",386,"2,062"
"ualad09:Rhondda, Cynon, Taff","99,663","70,760","36,338","34,422",150,"13,673","6,836","6,837","13,604","12,334",45,"1,088",137,"1,476"
ualad09:Merthyr Tydfil,"24,264","15,843","8,277","7,566",42,"5,118","2,379","2,739","2,809","2,500",25,232,52,452
ualad09:Caerphilly,"74,479","51,632","24,188","27,444",216,"13,962","10,464","3,498","7,995","7,178",32,712,73,674
ualad09:Blaenau Gwent,"30,416","18,884","10,019","8,865",40,"7,284","3,364","3,920","3,892","3,480",19,303,90,316
ualad09:Torfaen,"38,524","25,518","12,176","13,342",199,"9,100","3,840","5,260","3,315","2,894",16,331,74,392
ualad09:Monmouthshire,"38,233","28,142","15,269","12,873",141,"5,288","1,590","3,698","4,130","3,651",68,347,64,532
ualad09:Newport,"61,172","39,272","18,229","21,043",325,"12,122","5,981","6,141","8,572","7,870",54,510,138,881
