uacounty09:Perth and Kinross,S12000024,
uacounty09:Renfrewshire,S12000038,
uacounty09:Scottish Borders,S12000026,
uacounty09:Shetland Islands,S12000027,
uacounty09:South Ayrshire,S12000028,
uacounty09:South Lanarkshire,S12000029,
uacounty09:Stirling,S12000030,
uacounty09:West Dunbartonshire,S12000039,
uacounty09:West Lothian,S12000040,
ualad09:Darlington,E06000005,North East,1
ualad09:County Durham,E06000047,North East,1
ualad09:Hartlepool,E06000001,North East,1
ualad09:Middlesbrough,E06000002,North East,1
ualad09:Northumberland,E06000048,North East,1
ualad09:Redcar and Cleveland,E06000003,North East,1
ualad09:Stockton-on-Tees,E06000004,North East,1
ualad09:Gateshead,E08000020,North East,1
ualad09:Newcastle upon Tyne,E08000021,North East,1
ualad09:North Tyneside,E08000022,North East,1
ualad09:South Tyneside,E08000023,North East,1
ualad09:Sunderland,E08000024,North East,1
ualad09:Blackburn with Darwen,E06000008,North West,2
ualad09:Blackpool,E06000009,North West,2
ualad09:Cheshire East,E06000049,North West,2
ualad09:Cheshire West and Chester,E06000050,North West,2
ualad09:Halton,E06000006,North West,2
ualad09:Warrington,E06000007,North West,2
ualad09:Allerdale,E07000026,North West,2
ualad09:Barrow-in-Furness,E07000027,North West,2
ualad09:Carlisle,E07000028,North West,2
ualad09:Copeland,E07000029,North West,2
ualad09:Eden,E07000030,North West,2
ualad09:South Lakeland,E07000031,North West,2
ualad09:Bolton,E08000001,North West,2
ualad09:Bury,E08000002,North West,2
ualad09:Manchester,E08000003,North West,2
ualad09:Oldham,E08000004,North West,2
ualad09:Rochdale,E08000005,North West,2
ualad09:Salford,E08000006,North West,2
ualad09:Stockport,E08000007,North West,2
ualad09:Tameside,E08000008,North West,2
ualad09:Trafford,E08000009,North West,2
ualad09:Wigan,E08000010,North West,2
ualad09:Burnley,E07000117,North West,2
ualad09:Chorley,E07000118,North West,2
ualad09:Fylde,E07000119,North West,2
ualad09:Hyndburn,E07000120,North West,2
ualad09:Lancaster,E07000121,North West,2
ualad09:Pendle,E07000122,North West,2
ualad09:Preston,E07000123,North West,2
ualad09:Ribble Valley,E07000124,North West,2
ualad09:Rossendale,E07000125,North West,2
ualad09:South Ribble,E07000126,North West,2
ualad09:West Lancashire,E07000127,North West,2
ualad09:Wyre,E07000128,North West,2
ualad09:Knowsley,E08000011,North West,2
ualad09:Liverpool,E08000012,North West,2
ualad09:Sefton,E08000014,North West,2
ualad09:St. Helens,E08000013,North West,2
ualad09:Wirral,E08000015,North West,2
ualad09:East Riding of Yorkshire,E06000011,Yorkshire and The Humber,4
"ualad09:Kingston upon Hull, City of",E06000010,Yorkshire and The Humber,4
ualad09:North East Lincolnshire,E06000012,Yorkshire and The Humber,4
ualad09:North Lincolnshire,E06000013,Yorkshire and The Humber,4
ualad09:York,E06000014,Yorkshire and The Humber,4
ualad09:Craven,E07000163,Yorkshire and The Humber,4
ualad09:Hambleton,E07000164,Yorkshire and The Humber,4
ualad09:Harrogate,E07000165,Yorkshire and The Humber,4
ualad09:Richmondshire,E07000166,Yorkshire and The Humber,4
ualad09:Ryedale,E07000167,Yorkshire and The Humber,4
ualad09:Scarborough,E07000168,Yorkshire and The Humber,4
ualad09:Selby,E07000169,Yorkshire and The Humber,4
ualad09:Barnsley,E08000016,Yorkshire and The Humber,4
ualad09:Doncaster,E08000017,Yorkshire and The Humber,4
ualad09:Rotherham,E08000018,Yorkshire and The Humber,4
ualad09:Sheffield,E08000019,Yorkshire and The Humber,4
ualad09:Bradford,E08000032,Yorkshire and The Humber,4
ualad09:Calderdale,E08000033,Yorkshire and The Humber,4
ualad09:Kirklees,E08000034,Yorkshire and The Humber,4
ualad09:Leeds,E08000035,Yorkshire and The Humber,4
ualad09:Wakefield,E08000036,Yorkshire and The Humber,4
ualad09:Derby,E06000015,East Midlands,5
ualad09:Leicester,E06000016,East Midlands,5
ualad09:Nottingham,E06000018,East Midlands,5
ualad09:Rutland,E06000017,East Midlands,5
ualad09:Amber Valley,E07000032,East Midlands,5
ualad09:Bolsover,E07000033,East Midlands,5
ualad09:Chesterfield,E07000034,East Midlands,5
ualad09:Derbyshire Dales,E07000035,East Midlands,5
ualad09:Erewash,E07000036,East Midlands,5
ualad09:High Peak,E07000037,East Midlands,5
ualad09:North East Derbyshire,E07000038,East Midlands,5
ualad09:South Derbyshire,E07000039,East Midlands,5
ualad09:Blaby,E07000129,East Midlands,5
ualad09:Charnwood,E07000130,East Midlands,5
ualad09:Harborough,E07000131,East Midlands,5
ualad09:Hinckley and Bosworth,E07000132,East Midlands,5
ualad09:Melton,E07000133,East Midlands,5
ualad09:North West Leicestershire,E07000134,East Midlands,5
ualad09:Oadby and Wigston,E07000135,East Midlands,5
ualad09:Boston,E07000136,East Midlands,5
ualad09:East Lindsey,E07000137,East Midlands,5
ualad09:Lincoln,E07000138,East Midlands,5
ualad09:North Kesteven,E07000139,East Midlands,5
ualad09:South Holland,E07000140,East Midlands,5
ualad09:South Kesteven,E07000141,East Midlands,5
ualad09:West Lindsey,E07000142,East Midlands,5
ualad09:Corby,E07000150,East Midlands,5
ualad09:Daventry,E07000151,East Midlands,5
ualad09:East Northamptonshire,E07000152,East Midlands,5
ualad09:Kettering,E07000153,East Midlands,5
ualad09:Northampton,E07000154,East Midlands,5
ualad09:South Northamptonshire,E07000155,East Midlands,5
ualad09:Wellingborough,E07000156,East Midlands,5
ualad09:Ashfield,E07000170,East Midlands,5
ualad09:Bassetlaw,E07000171,East Midlands,5
