2011 census qs402ew - accomodation type - households,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,
,,,,,,,,,,,,
population,All households,,,,,,,,,,,
units,Households,,,,,,,,,,,
date,2011,,,,,,,,,,,
,,,,,,,,,,,,
Area,All categories: Accommodation type,Unshared : Total,Unshared : Whole house or bungalow: Total,Unshared : Whole house or bungalow: Detached,Unshared : Whole house or bungalow: Semi-detached,Unshared : Whole house or bungalow: Terraced,"Unshared : Flat, maisonette or apartment: Total","Unshared : Flat, etc: Purpose-built flats or tenement","Unshared : Flat etc: Part of a converted or shared house","Unshared : Flat, etc: In commercial building",Unshared : Caravan etc,Shared 
ualad09:East Devon,"59,071","58,980","50,270","23,275","15,569","11,426","8,369","5,224","2,364",781,341,91
ualad09:Exeter,"49,242","48,873","35,803","6,731","12,829","16,243","12,710","9,812","2,393",505,360,369
ualad09:Mid Devon,"32,758","32,734","29,615","12,694","9,432","7,489","2,950","2,039",603,308,169,24
ualad09:North Devon,"40,001","39,879","33,682","15,570","9,013","9,099","5,854","3,585","1,621",648,343,122
ualad09:South Hams,"36,858","36,846","32,474","14,691","10,025","7,758","4,146","2,538","1,178",430,226,12
ualad09:Teignbridge,"54,003","53,896","45,489","20,100","13,193","12,196","7,356","4,468","2,283",605,"1,051",107
ualad09:Torridge,"27,986","27,950","25,042","12,083","6,179","6,780","2,789","1,758",679,352,119,36
ualad09:West Devon,"22,725","22,708","20,443","9,936","5,812","4,695","2,120","1,368",487,265,145,17
ualad09:Christchurch,"21,475","21,470","16,818","8,907","4,167","3,744","4,545","3,727",550,268,107,5
ualad09:East Dorset,"37,564","37,553","32,365","22,824","5,947","3,594","4,303","3,661",389,253,885,11
ualad09:North Dorset,"28,670","28,646","25,569","11,631","8,394","5,544","2,901","2,193",428,280,176,24
ualad09:Purbeck,"19,583","19,573","16,348","7,723","4,966","3,659","2,891","2,047",580,264,334,10
ualad09:West Dorset,"44,386","44,359","37,577","16,626","11,041","9,910","6,381","4,914",991,476,401,27
ualad09:Weymouth and Portland,"28,535","28,501","21,922","6,819","6,349","8,754","6,544","4,647","1,467",430,35,34
ualad09:Cheltenham,"50,929","50,591","37,091","9,239","16,741","11,111","13,198","9,211","3,490",497,302,338
ualad09:Cotswold,"36,236","36,212","32,130","13,385","11,301","7,444","3,751","2,752",639,360,331,24
ualad09:Forest of Dean,"34,167","34,152","31,754","15,402","11,736","4,616","2,120","1,388",451,281,278,15
ualad09:Gloucester,"50,363","50,163","41,842","10,590","20,139","11,113","8,120","6,656","1,172",292,201,200
ualad09:Stroud,"47,794","47,748","42,276","17,431","15,700","9,145","5,207","3,993",805,409,265,46
ualad09:Tewkesbury,"35,126","35,116","31,096","12,273","12,275","6,548","3,406","2,921",282,203,614,10
ualad09:Mendip,"46,157","46,103","40,725","14,602","14,821","11,302","5,217","3,759","1,048",410,161,54
ualad09:Sedgemoor,"48,801","48,751","42,688","16,230","15,377","11,081","5,718","4,302",949,467,345,50
ualad09:South Somerset,"69,501","69,470","61,810","23,426","21,709","16,675","7,126","5,354","1,234",538,534,31
ualad09:Taunton Deane,"46,907","46,813","39,457","13,933","13,661","11,863","6,995","5,557","1,085",353,361,94
ualad09:West Somerset,"15,623","15,601","13,333","5,675","4,847","2,811","2,179","1,313",601,265,89,22
ualad09:Anglesey,"30,594","30,577","28,229","14,534","6,783","6,912","2,136","1,437",413,286,212,17
ualad09:Gwynedd,"52,473","52,387","47,013","17,804","12,767","16,442","5,124","3,294","1,116",714,250,86
ualad09:Conwy,"51,177","51,100","42,048","18,466","16,291","7,291","8,890","5,696","2,493",701,162,77
ualad09:Denbighshire,"40,546","40,450","35,981","17,882","12,784","5,315","4,371","3,008",878,485,98,96
ualad09:Flintshire,"63,781","63,734","59,268","23,978","26,399","8,891","4,181","3,276",507,398,285,47
ualad09:Wrexham,"57,029","56,979","50,547","17,663","21,213","11,671","6,319","5,513",521,285,113,50
ualad09:Powys,"58,345","58,301","52,984","27,895","14,635","10,454","4,833","3,244",872,717,484,44
ualad09:Ceredigion,"31,562","31,427","27,401","15,628","7,117","4,656","3,743","2,136","1,181",426,283,135
ualad09:Pembrokeshire,"53,122","53,074","47,084","22,533","14,456","10,095","5,535","3,955",981,599,455,48
ualad09:Carmarthenshire,"78,829","78,779","72,818","30,835","26,547","15,436","5,596","3,962","1,016",618,365,50
ualad09:Swansea,"103,497","103,205","86,712","24,198","35,096","27,418","16,260","13,298","2,262",700,233,292
ualad09:Neath Port Talbot,"60,393","60,346","54,127","12,143","26,143","15,841","6,148","5,185",619,344,71,47
ualad09:Bridgend,"58,515","58,460","52,279","13,873","23,005","15,401","6,076","4,929",783,364,105,55
ualad09:The Vale of Glamorgan,"53,505","53,478","45,488","14,339","16,659","14,490","7,705","5,891","1,332",482,285,27
ualad09:Cardiff,"142,557","141,962","105,114","19,638","41,864","43,612","36,769","28,389","7,233","1,147",79,595
"ualad09:Rhondda, Cynon, Taff","99,663","99,614","91,547","14,963","27,262","49,322","7,932","6,512",804,616,135,49
ualad09:Merthyr Tydfil,"24,264","24,254","22,740","3,813","6,907","12,020","1,488","1,196",152,140,26,10
ualad09:Caerphilly,"74,479","74,449","68,266","12,130","29,610","26,526","6,157","5,099",528,530,26,30
ualad09:Blaenau Gwent,"30,416","30,416","27,507","3,409","8,349","15,749","2,885","2,377",221,287,24,0
ualad09:Torfaen,"38,524","38,520","33,915","6,962","10,594","16,359","4,548","4,076",272,200,57,4
ualad09:Monmouthshire,"38,233","38,198","34,418","16,898","11,005","6,515","3,679","2,891",472,316,101,35
ualad09:Newport,"61,172","60,986","50,722","11,557","18,900","20,265","10,111","8,216","1,468",427,153,186
