2011 census ks209ew - religion,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 9 May 2013],,,,,,,,,,,
,,,,,,,,,,,
population,All usual residents,,,,,,,,,,
units,Persons,,,,,,,,,,
date,2011,,,,,,,,,,
,,,,,,,,,,,
Area,All categories: Religion,Has religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
uacounty09:Wolverhampton,"249,470","183,597","138,394","1,015","9,292",88,"9,062","22,689","3,057","49,821","16,052"
uacounty09:Worcestershire,"566,169","395,948","382,240","1,268","1,145",355,"7,466","1,413","2,061","131,861","38,360"
uacounty09:Bedford,"157,479","109,898","93,346",509,"2,420",171,"8,610","3,336","1,506","37,229","10,352"
uacounty09:Central Bedfordshire,"254,381","164,741","158,236",779,"1,668",499,"1,931",746,882,"72,355","17,285"
uacounty09:Luton,"203,201","157,234","96,271",652,"6,749",326,"49,991","2,347",898,"33,594","12,373"
uacounty09:Peterborough,"183,631","126,155","104,202",463,"2,320",144,"17,251","1,184",591,"45,183","12,293"
uacounty09:Southend-on-Sea,"173,658","105,233","96,755",801,"1,161","2,150","3,309",149,908,"54,880","13,545"
uacounty09:Thurrock,"157,705","106,749","99,891",615,"1,178",221,"3,164","1,224",456,"41,061","9,895"
uacounty09:Cambridgeshire,"621,210","383,111","361,532","3,264","4,142","1,652","8,990",895,"2,636","189,016","49,083"
uacounty09:Essex,"1,393,587","901,444","860,906","4,693","8,295","6,662","13,526","2,197","5,165","392,047","100,096"
uacounty09:Hertfordshire,"1,116,062","739,334","650,129","5,502","21,508","21,345","30,730","5,048","5,072","296,046","80,682"
uacounty09:Norfolk,"857,888","538,757","523,163","2,901","2,295",983,"5,021",461,"3,933","254,240","64,891"
uacounty09:Suffolk,"728,163","458,055","443,632","2,094","2,274",677,"5,818",626,"2,934","215,921","54,187"
uacounty09:Camden,"220,338","118,949","74,821","2,789","3,141","9,823","26,643",465,"1,267","56,113","45,276"
uacounty09:City of London,"7,375","4,202","3,344",92,145,166,409,18,28,"2,522",651
uacounty09:Hackney,"246,270","153,170","95,131","3,075","1,577","15,477","34,727","1,872","1,311","69,454","23,646"
uacounty09:Hammersmith and Fulham,"182,493","123,667","98,808","2,060","2,097","1,161","18,242",442,857,"43,487","15,339"
uacounty09:Haringey,"254,926","167,911","114,659","2,829","4,539","7,643","36,130",808,"1,303","64,202","22,813"
uacounty09:Islington,"206,125","110,076","82,879","2,117","2,108","1,915","19,521",569,967,"61,911","34,138"
uacounty09:Kensington and Chelsea,"158,649","110,011","86,005","2,447","1,386","3,320","15,812",263,778,"32,669","15,969"
uacounty09:Lambeth,"303,086","191,782","160,944","2,963","3,119","1,134","21,500",440,"1,682","84,803","26,501"
uacounty09:Lewisham,"275,885","176,225","145,588","3,664","6,562",643,"17,759",531,"1,478","75,155","24,505"
uacounty09:Newham,"307,984","258,836","123,119","2,446","26,962",342,"98,456","6,421","1,090","29,373","19,775"
uacounty09:Southwark,"288,283","186,574","151,462","3,884","3,668","1,006","24,551",653,"1,350","77,098","24,611"
uacounty09:Tower Hamlets,"254,096","166,359","68,808","2,726","4,200","1,283","87,696",821,825,"48,648","39,089"
uacounty09:Wandsworth,"306,995","200,138","162,590","2,574","6,496","1,617","24,746",832,"1,283","82,740","24,117"
uacounty09:Westminster,"219,396","154,335","97,877","3,194","4,178","7,237","40,073",496,"1,280","44,542","20,519"
uacounty09:Barking and Dagenham,"185,911","138,837","104,101",842,"4,464",425,"25,520","2,952",533,"35,106","11,968"
uacounty09:Barnet,"356,386","269,172","146,866","4,521","21,924","54,084","36,744","1,269","3,764","57,297","29,917"
