2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
uacounty09:Sefton,"117,930","37,820","18,414","19,406","73,411","11,419","37,358","12,892","6,250","9,475","8,741",95,78,6,8,3,"9,747","4,525","2,178","2,395",649,"14,792","5,300","3,916","5,576","6,699","1,551","1,141",12,520,"3,475"
uacounty09:St. Helens,"75,736","22,694","9,947","12,747","49,493","6,582","25,533","9,481","4,565","5,872","5,615",60,52,3,3,2,"7,547","3,398","1,863","1,814",472,"9,771","3,674","2,782","3,315","3,549",863,581,17,201,"1,887"
uacounty09:Wirral,"140,583","47,329","20,621","26,708","85,688","11,955","42,673","15,062","7,130","11,357","9,124",132,113,9,5,5,"11,934","5,795","2,609","2,797",733,"18,994","7,326","5,409","6,259","7,566","1,643","1,345",22,519,"4,037"
uacounty09:East Riding of Yorkshire,"143,032","39,276","19,540","19,736","97,661","17,055","54,734","23,882","8,606","13,335","8,911",158,131,14,9,4,"14,054","7,444","2,882","3,012",716,"11,660","4,516","3,186","3,958","6,095","1,239","1,051",35,454,"3,316"
"uacounty09:Kingston upon Hull, City of","112,596","39,788","13,075","26,713","64,810","6,602","29,524","11,528","5,141","7,133","5,722",92,77,7,6,2,"14,069","6,377","3,323","3,545",824,"14,523","6,005","4,287","4,231","7,998","1,426","1,142","1,366",266,"3,798"
uacounty09:North East Lincolnshire,"69,707","21,793","9,190","12,603","43,909","6,092","21,480","9,029","3,434","5,117","3,900",42,34,2,4,2,"7,887","3,540","1,741","2,095",511,"8,408","3,504","2,567","2,337","4,005",773,645,31,206,"2,350"
uacounty09:North Lincolnshire,"70,684","19,420","8,946","10,474","46,795","6,766","25,211","10,768","4,169","6,013","4,261",67,55,2,6,4,"8,047","3,782","1,782","2,014",469,"6,704","2,536","2,063","2,105","4,469",967,843,4,193,"2,462"
uacounty09:York,"83,552","25,224","10,803","14,421","50,873","7,373","26,903","11,115","4,743","7,100","3,945",136,123,7,5,1,"9,173","5,724","1,621","1,483",345,"7,288","3,069","1,828","2,391","7,455",821,623,"1,833",205,"3,973"
uacounty09:North Yorkshire,"256,594","74,954","36,911","38,043","169,243","28,015","96,521","41,285","15,455","25,327","14,454",273,240,14,15,4,"23,481","13,186","4,683","4,474","1,138","20,953","8,216","5,495","7,242","12,397","2,272","1,971",179,811,"7,164"
uacounty09:Barnsley,"100,734","29,734","13,118","16,616","66,621","8,674","34,024","13,863","6,032","7,755","6,374",104,82,7,11,4,"12,383","5,988","2,895","2,863",637,"11,436","4,643","3,277","3,516","4,379","1,025",813,28,222,"2,291"
uacounty09:Doncaster,"126,487","36,104","16,179","19,925","82,278","10,980","42,511","17,042","7,079","10,353","8,037",121,99,11,7,4,"14,771","6,606","3,345","3,889",931,"13,895","5,260","4,217","4,418","8,105","1,773","1,559",24,364,"4,385"
uacounty09:Rotherham,"108,293","30,902","14,286","16,616","72,032","9,894","38,295","15,133","6,537","9,428","7,197",78,53,7,10,8,"12,125","5,626","2,800","2,969",730,"11,640","4,306","3,602","3,732","5,359","1,264","1,345",9,232,"2,509"
uacounty09:Sheffield,"229,928","73,315","28,964","44,351","135,651","17,995","68,591","25,562","12,025","19,581","11,423",260,218,17,21,4,"24,828","13,569","4,844","5,236","1,179","23,977","9,908","6,852","7,217","20,962","2,520","2,807","5,666",499,"9,470"
uacounty09:Bradford,"199,296","58,934","22,705","36,229","121,708","13,001","67,369","22,238","11,291","23,406","10,434",162,122,26,9,5,"19,085","9,067","4,254","4,565","1,199","22,091","8,196","7,109","6,786","18,654","3,803","6,060",621,450,"7,720"
uacounty09:Calderdale,"88,621","29,023","11,210","17,813","54,740","6,551","28,722","11,398","4,909","8,000","4,415",157,127,13,13,4,"9,968","5,074","2,198","2,213",483,"9,342","3,840","2,766","2,736","4,858",980,"1,060",28,173,"2,617"
uacounty09:Kirklees,"173,525","52,553","20,412","32,141","109,622","13,326","59,864","22,164","10,099","17,942","9,659",221,193,10,12,6,"18,115","9,319","3,944","3,851","1,001","18,096","7,196","5,397","5,503","11,350","2,263","2,812",702,323,"5,250"
uacounty09:Leeds,"320,596","106,739","38,326","68,413","186,547","22,346","94,982","35,953","17,265","26,527","15,237",379,322,32,18,7,"33,952","19,713","6,290","6,514","1,435","34,888","13,985","10,514","10,389","27,310","3,482","3,760","4,923",688,"14,457"
uacounty09:Wakefield,"140,414","41,640","18,205","23,435","92,074","11,883","48,491","19,736","8,405","11,410","8,940",142,120,7,9,6,"16,171","7,967","3,757","3,582",865,"15,387","6,044","4,561","4,782","6,700","1,531","1,228",12,274,"3,655"
uacounty09:Derby,"102,271","31,578","12,432","19,146","62,268","7,763","31,882","11,173","5,646","9,815","5,248",106,91,5,4,6,"10,651","5,489","2,280","2,366",516,"11,866","4,661","3,676","3,529","8,425","1,473","1,619",859,221,"4,253"
uacounty09:Leicester,"123,125","36,951","12,057","24,894","68,723","5,758","37,126","10,443","7,025","12,418","7,240",131,112,7,8,4,"10,477","5,286","2,050","2,556",585,"15,231","5,541","4,867","4,823","17,451","2,959","3,698","2,914",260,"7,620"
uacounty09:Nottingham,"126,131","45,617","13,606","32,011","63,857","6,068","27,982","10,076","5,075","8,108","4,723",162,139,6,14,3,"13,181","7,062","2,659","2,726",734,"16,464","6,783","5,215","4,466","16,657","1,799","2,117","4,845",265,"7,631"
uacounty09:Rutland,"15,002","4,111","2,142","1,969","10,337","1,962","5,971","2,559",959,"1,649",804,21,21,0,0,0,"1,277",765,220,235,57,"1,106",345,369,392,554,102,92,1,52,307
