2011 census qs113ew - household composition - households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
units,Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All categories: Household composition,One person household: Total,One person household: Aged 65 and over,One person household: Other,One family only: Total,One family only: All aged 65 and over,One family only: Married cple: Total,One family only: Married cple: No kids,One family only: Married cple: One dep child,One family only: Married cple: Two or more dep kids,One family only: Married cple: All kids non-dep,One family only: Same-sex civ part cple: Total,One family only: Same-sex civ part cple: No kids,Same-sex civ part cple: One dep child,Same-sex civ part cple: Two plus dep kids,One family only: Same-sex civ part cple: All kids non-dep,One family only: Cohabiting cple: Total,One family only: Cohabiting cple: No kids,One family only: Cohabiting cple: One dep child,One family only: Cohabiting cple: Two or more dep kids,One family only: Cohabiting cple: All kids non-dep,One family only: Lone parent: Total,One family only: Lone parent: One dep child,One family only: Lone parent: Two or more dep kids,One family only: Lone parent: All kids non-dep,Other: Total,Other: With one dep child,Other: With two or more dep kids,Other: All full-time students,Other: All aged 65 and over,Other: Other
ualad09:Blackburn with Darwen,"57,353","17,419","6,229","11,190","35,600","3,507","19,585","6,236","3,441","6,608","3,300",53,37,11,2,3,"5,316","2,300","1,303","1,369",344,"7,139","2,752","2,291","2,096","4,334",969,"1,310",29,141,"1,885"
ualad09:Blackpool,"64,367","24,446","9,650","14,796","35,492","4,917","15,546","6,273","2,773","3,559","2,941",174,151,9,6,8,"6,586","3,045","1,600","1,536",405,"8,269","3,367","2,366","2,536","4,429",909,778,54,266,"2,422"
ualad09:Cheshire East,"159,441","47,328","21,409","25,919","105,035","16,201","59,207","22,918","10,498","16,028","9,763",177,155,14,5,3,"15,175","8,293","3,171","2,957",754,"14,275","5,223","4,144","4,908","7,078","1,330","1,096",173,357,"4,122"
ualad09:Cheshire West and Chester,"141,442","41,841","18,652","23,189","91,940","13,452","50,877","19,668","8,630","13,333","9,246",138,121,5,8,4,"13,590","7,262","2,851","2,790",687,"13,883","5,139","3,932","4,812","7,661","1,372","1,015",618,364,"4,292"
ualad09:Halton,"53,312","15,833","6,192","9,641","34,755","3,543","17,766","6,638","2,999","4,259","3,870",59,51,2,4,2,"5,671","2,463","1,352","1,491",365,"7,716","3,058","2,319","2,339","2,724",679,496,8,125,"1,416"
ualad09:Warrington,"85,140","24,534","9,862","14,672","56,642","7,077","31,461","11,391","6,000","8,774","5,296",77,65,5,6,1,"8,904","4,641","1,883","1,900",480,"9,123","3,671","2,549","2,903","3,964",846,643,57,152,"2,266"
ualad09:Allerdale,"42,345","13,169","6,186","6,983","27,389","4,334","15,337","6,552","2,360","3,713","2,712",33,28,1,1,3,"3,738","1,813",871,845,209,"3,947","1,525","1,002","1,420","1,787",362,288,5,154,978
ualad09:Barrow-in-Furness,"31,224","10,791","4,531","6,260","19,178","2,662","10,030","4,053","1,760","2,330","1,887",15,13,2,0,0,"3,040","1,407",700,784,149,"3,431","1,398",981,"1,052","1,255",269,197,8,69,712
ualad09:Carlisle,"48,342","16,423","6,736","9,687","29,477","4,114","15,855","6,549","2,599","3,930","2,777",50,45,4,0,1,"4,690","2,476","1,057",926,231,"4,768","1,849","1,229","1,690","2,442",445,306,246,136,"1,309"
ualad09:Copeland,"30,536","9,308","4,023","5,285","19,770","2,838","11,156","4,622","1,824","2,614","2,096",27,27,0,0,0,"2,883","1,400",688,628,167,"2,866","1,124",679,"1,063","1,458",316,242,5,153,742
ualad09:Eden,"23,043","6,958","3,322","3,636","14,969","2,633","8,691","3,837","1,247","2,195","1,412",25,23,0,2,0,"1,969","1,102",407,393,67,"1,651",603,395,653,"1,116",179,156,39,91,651
ualad09:South Lakeland,"46,552","15,091","7,600","7,491","29,315","5,802","16,388","7,709","2,377","3,942","2,360",47,40,4,3,0,"3,989","2,323",740,763,163,"3,089","1,093",800,"1,196","2,146",330,278,20,187,"1,331"
ualad09:Bolton,"116,371","37,091","14,473","22,618","72,189","8,488","38,029","13,429","6,846","10,953","6,801",103,90,9,4,0,"11,638","5,346","2,840","2,808",644,"13,931","5,405","4,091","4,435","7,091","1,546","1,723",225,256,"3,341"
ualad09:Bury,"78,113","24,263","9,658","14,605","49,797","5,997","26,655","9,507","4,835","7,567","4,746",77,69,2,5,1,"7,962","3,875","1,840","1,821",426,"9,106","3,414","2,688","3,004","4,053",863,781,24,180,"2,205"
ualad09:Manchester,"204,969","72,255","18,891","53,364","100,320","6,292","42,554","12,951","8,478","14,261","6,864",432,389,18,12,13,"22,341","13,633","3,843","3,904",961,"28,701","10,988","9,284","8,429","32,394","3,530","3,988","6,532",484,"17,860"
ualad09:Oldham,"89,703","26,790","11,466","15,324","56,511","6,110","29,430","9,916","5,235","8,958","5,321",51,43,2,2,4,"9,158","3,881","2,275","2,338",664,"11,762","4,592","3,556","3,614","6,402","1,399","1,989",39,145,"2,830"
ualad09:Rochdale,"87,552","28,183","10,773","17,410","53,685","5,671","27,237","9,587","4,838","7,962","4,850",82,69,5,3,5,"9,284","4,106","2,287","2,310",581,"11,411","4,619","3,312","3,480","5,684","1,283","1,613",25,161,"2,602"
ualad09:Salford,"103,556","37,751","12,569","25,182","57,807","5,879","26,119","9,391","4,959","6,850","4,919",183,163,10,9,1,"11,668","6,417","2,303","2,387",561,"13,958","5,776","4,159","4,023","7,998","1,216","1,061",636,253,"4,832"
ualad09:Stockport,"121,979","38,535","16,878","21,657","77,407","10,746","41,284","14,339","7,471","11,731","7,743",131,113,12,6,0,"11,496","5,998","2,468","2,442",588,"13,750","5,477","3,573","4,700","6,037","1,329","1,215",12,299,"3,182"
ualad09:Tameside,"94,953","31,037","12,138","18,899","58,778","6,455","29,139","10,809","5,304","7,154","5,872",93,79,6,8,0,"10,906","4,871","2,760","2,600",675,"12,185","4,917","3,437","3,831","5,138","1,232","1,145",10,195,"2,556"
ualad09:Trafford,"94,484","28,179","12,081","16,098","60,249","7,419","33,209","10,584","6,378","10,583","5,664",128,109,10,6,3,"9,064","4,926","1,868","1,812",458,"10,429","3,841","2,950","3,638","6,056","1,089","1,209",38,247,"3,473"
ualad09:Wigan,"136,386","40,053","15,927","24,126","90,171","11,056","46,943","17,396","8,684","11,197","9,666",126,106,9,7,4,"15,558","6,976","3,880","3,820",882,"16,488","6,622","4,361","5,505","6,162","1,493","1,188",22,272,"3,187"
ualad09:Burnley,"37,550","12,506","4,749","7,757","22,842","2,760","11,482","4,400","1,907","2,969","2,206",26,24,2,0,0,"3,916","1,743",945,938,290,"4,658","1,901","1,336","1,421","2,202",447,529,8,79,"1,139"
ualad09:Chorley,"44,919","12,724","5,320","7,404","30,214","3,856","16,989","6,759","2,969","4,383","2,878",37,30,3,0,4,"4,837","2,482","1,093","1,031",231,"4,495","1,760","1,221","1,514","1,981",428,329,7,118,"1,099"
ualad09:Fylde,"34,885","12,328","5,893","6,435","21,118","4,068","11,338","4,900","1,971","2,659","1,808",44,38,2,3,1,"2,549","1,463",527,431,128,"3,119","1,118",946,"1,055","1,439",262,247,3,128,799
ualad09:Hyndburn,"34,341","11,061","4,243","6,818","21,333","2,660","10,705","4,048","1,938","2,853","1,866",19,17,0,1,1,"3,642","1,630",918,879,215,"4,307","1,797","1,275","1,235","1,947",407,516,12,85,927
ualad09:Lancaster,"57,822","18,838","8,225","10,613","34,844","5,388","17,950","7,563","3,067","4,523","2,797",85,71,6,7,1,"5,787","3,121","1,179","1,191",296,"5,634","2,359","1,627","1,648","4,140",622,450,860,196,"2,012"
ualad09:Pendle,"37,348","12,088","4,762","7,326","22,822","2,918","12,110","4,722","1,947","3,426","2,015",25,20,3,2,0,"3,871","1,847",873,912,239,"3,898","1,628","1,079","1,191","2,438",551,696,3,73,"1,115"
ualad09:Preston,"57,567","19,835","6,590","13,245","32,724","3,593","17,182","5,835","3,007","5,259","3,081",46,39,3,3,1,"5,461","2,786","1,137","1,271",267,"6,442","2,613","1,848","1,981","5,008",816,842,885,125,"2,340"
ualad09:Ribble Valley,"24,045","6,948","3,396","3,552","16,179","2,655","9,429","3,604","1,518","2,712","1,595",21,20,1,0,0,"2,054","1,091",422,459,82,"2,020",713,610,697,918,197,167,3,44,507
ualad09:Rossendale,"29,058","8,988","3,375","5,613","18,554","2,084","9,727","3,926","1,659","2,503","1,639",41,37,1,2,1,"3,491","1,644",795,839,213,"3,211","1,350",871,990,"1,516",320,380,5,60,751
ualad09:South Ribble,"46,102","12,453","5,722","6,731","31,422","4,391","17,379","6,621","3,121","4,311","3,326",48,38,5,3,2,"4,781","2,423","1,147",972,239,"4,823","1,803","1,346","1,674","2,227",473,387,7,110,"1,250"
ualad09:West Lancashire,"45,381","12,226","5,843","6,383","30,432","4,566","16,824","6,287","2,673","4,479","3,385",25,20,3,2,0,"3,787","1,778",820,953,236,"5,230","1,918","1,495","1,817","2,723",515,432,350,164,"1,262"
ualad09:Wyre,"47,281","14,172","7,762","6,410","30,678","6,259","15,965","6,778","2,601","3,698","2,888",64,58,2,2,2,"4,088","1,950",912,929,297,"4,302","1,560","1,131","1,611","2,431",509,386,16,227,"1,293"
ualad09:Knowsley,"61,323","19,041","7,932","11,109","38,290","4,009","17,641","5,453","3,256","4,264","4,668",38,32,1,2,3,"5,595","2,277","1,341","1,531",446,"11,007","4,125","3,202","3,680","3,992","1,095",793,1,231,"1,872"
ualad09:Liverpool,"206,515","80,973","24,610","56,363","106,432","10,151","46,533","14,735","8,606","11,745","11,447",171,134,14,13,10,"17,397","9,257","3,512","3,616","1,012","32,180","12,526","8,638","11,016","19,110","2,724","2,256","3,531",757,"9,842"
ualad09:Sefton,"117,930","37,820","18,414","19,406","73,411","11,419","37,358","12,892","6,250","9,475","8,741",95,78,6,8,3,"9,747","4,525","2,178","2,395",649,"14,792","5,300","3,916","5,576","6,699","1,551","1,141",12,520,"3,475"
ualad09:St. Helens,"75,736","22,694","9,947","12,747","49,493","6,582","25,533","9,481","4,565","5,872","5,615",60,52,3,3,2,"7,547","3,398","1,863","1,814",472,"9,771","3,674","2,782","3,315","3,549",863,581,17,201,"1,887"
ualad09:Wirral,"140,583","47,329","20,621","26,708","85,688","11,955","42,673","15,062","7,130","11,357","9,124",132,113,9,5,5,"11,934","5,795","2,609","2,797",733,"18,994","7,326","5,409","6,259","7,566","1,643","1,345",22,519,"4,037"
ualad09:East Riding of Yorkshire,"143,032","39,276","19,540","19,736","97,661","17,055","54,734","23,882","8,606","13,335","8,911",158,131,14,9,4,"14,054","7,444","2,882","3,012",716,"11,660","4,516","3,186","3,958","6,095","1,239","1,051",35,454,"3,316"
"ualad09:Kingston upon Hull, City of","112,596","39,788","13,075","26,713","64,810","6,602","29,524","11,528","5,141","7,133","5,722",92,77,7,6,2,"14,069","6,377","3,323","3,545",824,"14,523","6,005","4,287","4,231","7,998","1,426","1,142","1,366",266,"3,798"
ualad09:North East Lincolnshire,"69,707","21,793","9,190","12,603","43,909","6,092","21,480","9,029","3,434","5,117","3,900",42,34,2,4,2,"7,887","3,540","1,741","2,095",511,"8,408","3,504","2,567","2,337","4,005",773,645,31,206,"2,350"
ualad09:North Lincolnshire,"70,684","19,420","8,946","10,474","46,795","6,766","25,211","10,768","4,169","6,013","4,261",67,55,2,6,4,"8,047","3,782","1,782","2,014",469,"6,704","2,536","2,063","2,105","4,469",967,843,4,193,"2,462"
ualad09:York,"83,552","25,224","10,803","14,421","50,873","7,373","26,903","11,115","4,743","7,100","3,945",136,123,7,5,1,"9,173","5,724","1,621","1,483",345,"7,288","3,069","1,828","2,391","7,455",821,623,"1,833",205,"3,973"
ualad09:Craven,"24,583","7,651","3,931","3,720","16,003","2,870","8,989","3,989","1,325","2,336","1,339",25,23,1,1,0,"2,139","1,239",398,389,113,"1,980",779,490,711,929,170,158,3,72,526
ualad09:Hambleton,"38,117","10,679","5,581","5,098","25,777","4,639","15,135","6,326","2,487","3,980","2,342",23,18,1,4,0,"3,211","1,780",695,588,148,"2,769","1,009",749,"1,011","1,661",322,278,1,122,938
ualad09:Harrogate,"67,169","19,340","9,261","10,079","44,277","6,936","25,594","10,219","4,357","7,559","3,459",83,74,5,3,1,"6,033","3,600","1,120","1,033",280,"5,631","2,329","1,408","1,894","3,552",616,466,8,206,"2,256"
ualad09:Richmondshire,"20,207","5,239","2,505","2,734","14,024","2,074","8,529","3,707","1,360","2,339","1,123",33,29,2,2,0,"1,681",944,307,347,83,"1,707",730,439,538,944,169,190,0,65,520
ualad09:Ryedale,"22,524","6,546","3,557","2,989","14,939","2,731","8,535","3,930","1,213","2,043","1,349",18,16,1,1,0,"2,034","1,142",372,426,94,"1,621",598,416,607,"1,039",188,139,0,120,592
ualad09:Scarborough,"49,435","16,966","8,163","8,803","29,868","5,542","15,137","7,136","2,171","3,331","2,499",53,47,3,2,1,"4,589","2,365",987,"1,000",237,"4,547","1,791","1,246","1,510","2,601",468,417,167,159,"1,390"
ualad09:Selby,"34,559","8,533","3,913","4,620","24,355","3,223","14,602","5,978","2,542","3,739","2,343",38,33,1,2,2,"3,794","2,116",804,691,183,"2,698",980,747,971,"1,671",339,323,0,67,942
ualad09:Barnsley,"100,734","29,734","13,118","16,616","66,621","8,674","34,024","13,863","6,032","7,755","6,374",104,82,7,11,4,"12,383","5,988","2,895","2,863",637,"11,436","4,643","3,277","3,516","4,379","1,025",813,28,222,"2,291"
ualad09:Doncaster,"126,487","36,104","16,179","19,925","82,278","10,980","42,511","17,042","7,079","10,353","8,037",121,99,11,7,4,"14,771","6,606","3,345","3,889",931,"13,895","5,260","4,217","4,418","8,105","1,773","1,559",24,364,"4,385"
ualad09:Rotherham,"108,293","30,902","14,286","16,616","72,032","9,894","38,295","15,133","6,537","9,428","7,197",78,53,7,10,8,"12,125","5,626","2,800","2,969",730,"11,640","4,306","3,602","3,732","5,359","1,264","1,345",9,232,"2,509"
ualad09:Sheffield,"229,928","73,315","28,964","44,351","135,651","17,995","68,591","25,562","12,025","19,581","11,423",260,218,17,21,4,"24,828","13,569","4,844","5,236","1,179","23,977","9,908","6,852","7,217","20,962","2,520","2,807","5,666",499,"9,470"
ualad09:Bradford,"199,296","58,934","22,705","36,229","121,708","13,001","67,369","22,238","11,291","23,406","10,434",162,122,26,9,5,"19,085","9,067","4,254","4,565","1,199","22,091","8,196","7,109","6,786","18,654","3,803","6,060",621,450,"7,720"
ualad09:Calderdale,"88,621","29,023","11,210","17,813","54,740","6,551","28,722","11,398","4,909","8,000","4,415",157,127,13,13,4,"9,968","5,074","2,198","2,213",483,"9,342","3,840","2,766","2,736","4,858",980,"1,060",28,173,"2,617"
ualad09:Kirklees,"173,525","52,553","20,412","32,141","109,622","13,326","59,864","22,164","10,099","17,942","9,659",221,193,10,12,6,"18,115","9,319","3,944","3,851","1,001","18,096","7,196","5,397","5,503","11,350","2,263","2,812",702,323,"5,250"
ualad09:Leeds,"320,596","106,739","38,326","68,413","186,547","22,346","94,982","35,953","17,265","26,527","15,237",379,322,32,18,7,"33,952","19,713","6,290","6,514","1,435","34,888","13,985","10,514","10,389","27,310","3,482","3,760","4,923",688,"14,457"
ualad09:Wakefield,"140,414","41,640","18,205","23,435","92,074","11,883","48,491","19,736","8,405","11,410","8,940",142,120,7,9,6,"16,171","7,967","3,757","3,582",865,"15,387","6,044","4,561","4,782","6,700","1,531","1,228",12,274,"3,655"
ualad09:Derby,"102,271","31,578","12,432","19,146","62,268","7,763","31,882","11,173","5,646","9,815","5,248",106,91,5,4,6,"10,651","5,489","2,280","2,366",516,"11,866","4,661","3,676","3,529","8,425","1,473","1,619",859,221,"4,253"
ualad09:Leicester,"123,125","36,951","12,057","24,894","68,723","5,758","37,126","10,443","7,025","12,418","7,240",131,112,7,8,4,"10,477","5,286","2,050","2,556",585,"15,231","5,541","4,867","4,823","17,451","2,959","3,698","2,914",260,"7,620"
ualad09:Nottingham,"126,131","45,617","13,606","32,011","63,857","6,068","27,982","10,076","5,075","8,108","4,723",162,139,6,14,3,"13,181","7,062","2,659","2,726",734,"16,464","6,783","5,215","4,466","16,657","1,799","2,117","4,845",265,"7,631"
ualad09:Rutland,"15,002","4,111","2,142","1,969","10,337","1,962","5,971","2,559",959,"1,649",804,21,21,0,0,0,"1,277",765,220,235,57,"1,106",345,369,392,554,102,92,1,52,307
ualad09:Amber Valley,"52,596","14,658","6,718","7,940","35,481","5,047","19,401","8,049","3,249","4,814","3,289",85,73,4,7,1,"6,133","3,351","1,249","1,223",310,"4,815","1,742","1,297","1,776","2,457",476,394,0,136,"1,451"
ualad09:Bolsover,"32,801","9,521","4,411","5,110","21,751","2,963","11,472","4,777","2,046","2,638","2,011",41,34,2,4,1,"3,931","1,907",904,907,213,"3,344","1,308",908,"1,128","1,529",322,242,5,83,877
ualad09:Chesterfield,"46,796","15,412","6,318","9,094","29,411","4,208","15,020","6,296","2,626","3,616","2,482",44,37,2,3,2,"5,248","2,740","1,164","1,100",244,"4,891","1,897","1,398","1,596","1,973",365,281,4,108,"1,215"
ualad09:Derbyshire Dales,"30,744","8,899","4,656","4,243","20,556","3,635","11,857","5,196","1,725","3,108","1,828",45,42,3,0,0,"2,735","1,530",480,576,149,"2,284",791,594,899,"1,289",221,164,4,103,797
ualad09:Erewash,"48,692","14,164","6,084","8,080","32,386","4,456","16,838","6,840","3,040","4,028","2,930",36,29,3,3,1,"5,898","3,029","1,294","1,214",361,"5,158","1,949","1,484","1,725","2,142",422,329,8,120,"1,263"
ualad09:High Peak,"38,946","11,362","4,962","6,400","25,751","3,356","14,127","5,670","2,328","3,728","2,401",58,52,4,1,1,"4,372","2,223",929,"1,013",207,"3,838","1,490","1,011","1,337","1,833",308,231,75,97,"1,122"
ualad09:North East Derbyshire,"43,070","12,158","6,049","6,109","29,243","4,925","16,201","6,731","2,580","3,789","3,101",53,45,4,3,1,"4,324","2,147",981,950,246,"3,740","1,320",970,"1,450","1,669",326,289,4,138,912
ualad09:South Derbyshire,"38,992","10,059","4,072","5,987","27,204","3,346","15,601","6,149","2,770","4,271","2,411",53,44,6,3,0,"4,715","2,531",965,985,234,"3,489","1,311","1,087","1,091","1,729",332,303,9,72,"1,013"
ualad09:Blaby,"38,686","10,095","4,741","5,354","26,655","4,042","15,035","5,593","2,636","4,182","2,624",51,44,3,2,2,"3,995","2,047",842,900,206,"3,532","1,273","1,051","1,208","1,936",401,427,8,99,"1,001"
ualad09:Charnwood,"66,516","18,658","7,980","10,678","42,933","6,231","23,982","8,936","4,174","6,653","4,219",81,64,10,5,2,"6,700","3,663","1,312","1,403",322,"5,939","2,162","1,650","2,127","4,925",717,629,"1,252",140,"2,187"
ualad09:Harborough,"34,898","8,995","4,368","4,627","24,412","3,766","14,636","5,556","2,301","4,619","2,160",50,47,1,0,2,"3,411","1,880",686,676,169,"2,549",907,735,907,"1,491",292,275,18,75,831
ualad09:Hinckley and Bosworth,"45,377","12,771","5,608","7,163","30,651","4,582","17,219","7,225","2,817","4,282","2,895",53,49,2,1,1,"4,907","2,700","1,040",937,230,"3,890","1,381","1,235","1,274","1,955",368,351,11,101,"1,124"
ualad09:Melton,"21,490","5,902","2,692","3,210","14,615","2,183","8,271","3,498","1,313","2,236","1,224",17,14,1,0,2,"2,300","1,281",431,490,98,"1,844",688,534,622,973,177,164,5,35,592
ualad09:North West Leicestershire,"39,128","10,587","4,706","5,881","26,650","3,571","15,284","6,043","2,484","4,175","2,582",50,38,4,7,1,"4,311","2,289",863,933,226,"3,434","1,266","1,022","1,146","1,891",404,317,81,107,982
ualad09:Oadby and Wigston,"21,339","5,488","3,031","2,457","14,260","2,401","8,043","2,605","1,353","2,357","1,728",9,8,0,1,0,"1,895",874,429,462,130,"1,912",633,466,813,"1,591",385,452,8,60,686
ualad09:Boston,"27,291","7,676","3,794","3,882","17,307","2,907","9,059","4,067","1,450","2,097","1,445",27,22,1,2,2,"2,851","1,402",652,663,134,"2,463",969,745,749,"2,308",570,413,2,88,"1,235"
ualad09:East Lindsey,"60,890","18,179","9,533","8,646","39,738","8,468","20,793","10,549","2,982","4,274","2,988",58,53,3,2,0,"5,666","3,013","1,179","1,218",256,"4,753","1,698","1,458","1,597","2,973",578,491,4,299,"1,601"
ualad09:Lincoln,"39,825","13,696","4,779","8,917","22,560","2,567","10,676","4,562","1,847","2,628","1,639",55,51,2,2,0,"5,022","2,900","1,005",935,182,"4,240","1,701","1,267","1,272","3,569",482,329,709,74,"1,975"
ualad09:North Kesteven,"45,972","12,052","6,100","5,952","31,939","5,567","18,432","8,066","3,145","4,757","2,464",49,43,2,1,3,"4,364","2,457",939,789,179,"3,527","1,276","1,119","1,132","1,981",389,338,4,144,"1,106"
ualad09:South Holland,"37,264","9,441","5,272","4,169","25,144","4,699","13,445","6,172","2,136","3,092","2,045",36,32,1,2,1,"4,059","2,153",865,833,208,"2,905","1,050",863,992,"2,679",533,466,6,137,"1,537"
ualad09:South Kesteven,"57,344","15,599","7,333","8,266","38,961","5,939","21,895","9,408","3,577","5,766","3,144",40,32,5,1,2,"5,969","3,270","1,236","1,210",253,"5,118","1,948","1,655","1,515","2,784",569,418,10,155,"1,632"
ualad09:West Lindsey,"38,385","10,487","5,094","5,393","26,297","4,404","14,895","6,725","2,424","3,527","2,219",32,27,1,2,2,"3,726","1,974",806,764,182,"3,240","1,191","1,012","1,037","1,601",313,269,3,144,872
ualad09:Corby,"25,215","6,696","2,581","4,115","16,475","1,707","8,116","2,946","1,533","2,163","1,474",18,15,1,1,1,"3,230","1,528",746,758,198,"3,404","1,277","1,057","1,070","2,044",454,330,3,88,"1,169"
ualad09:Daventry,"31,647","7,953","3,505","4,448","22,170","3,070","13,028","5,371","2,094","3,701","1,862",30,27,2,0,1,"3,306","1,835",655,659,157,"2,736","1,000",857,879,"1,524",274,284,9,65,892
ualad09:East Northamptonshire,"35,662","9,134","3,951","5,183","24,821","3,342","14,119","5,852","2,275","4,029","1,963",48,38,2,5,3,"4,232","2,290",862,890,190,"3,080","1,117",967,996,"1,707",319,304,2,81,"1,001"
ualad09:Kettering,"39,701","11,503","4,555","6,948","26,172","3,309","14,424","5,676","2,549","4,094","2,105",45,41,3,1,0,"4,504","2,416",945,959,184,"3,890","1,479","1,240","1,171","2,026",372,342,7,88,"1,217"
ualad09:Northampton,"88,731","27,048","9,111","17,937","54,125","5,820","27,597","10,459","4,867","8,048","4,223",78,68,5,3,2,"10,198","5,589","2,085","2,111",413,"10,432","4,159","3,417","2,856","7,558","1,256","1,244",567,156,"4,335"
ualad09:South Northamptonshire,"34,717","8,264","3,791","4,473","24,885","3,409","15,491","6,122","2,524","4,656","2,189",28,22,4,2,0,"3,377","1,961",576,653,187,"2,580",876,809,895,"1,568",293,286,5,86,898
ualad09:Wellingborough,"32,057","9,502","3,756","5,746","20,666","2,625","11,081","4,515","1,903","2,947","1,716",29,27,2,0,0,"3,315","1,689",682,795,149,"3,616","1,384","1,222","1,010","1,889",389,344,2,87,"1,067"
ualad09:Ashfield,"50,931","14,278","6,082","8,196","34,266","4,473","17,740","7,241","3,160","4,149","3,190",62,53,4,2,3,"6,173","2,971","1,414","1,460",328,"5,818","2,248","1,769","1,801","2,387",531,399,2,115,"1,340"
ualad09:Bassetlaw,"47,667","13,367","6,189","7,178","32,002","4,671","17,649","7,579","2,892","4,230","2,948",55,49,1,4,1,"5,078","2,501","1,208","1,124",245,"4,549","1,669","1,355","1,525","2,298",482,441,1,124,"1,250"
ualad09:Broxtowe,"46,820","13,083","6,060","7,023","30,779","4,588","17,045","6,720","3,061","4,233","3,031",73,55,7,7,4,"5,058","2,820",995,976,267,"4,015","1,466","1,109","1,440","2,958",414,378,318,133,"1,715"
ualad09:Gedling,"49,349","14,641","6,336","8,305","32,335","4,807","16,988","6,729","2,977","4,249","3,033",76,68,6,1,1,"5,331","2,791","1,131","1,103",306,"5,133","1,911","1,497","1,725","2,373",447,446,20,113,"1,347"
ualad09:Mansfield,"44,928","13,098","5,679","7,419","29,425","3,945","15,261","6,190","2,755","3,476","2,840",39,31,3,3,2,"5,345","2,526","1,296","1,212",311,"4,835","1,994","1,353","1,488","2,405",540,425,1,98,"1,341"
ualad09:Newark and Sherwood,"48,773","13,842","6,475","7,367","32,657","4,985","18,025","7,677","2,988","4,544","2,816",48,41,2,3,2,"5,041","2,555","1,112","1,120",254,"4,558","1,645","1,397","1,516","2,274",439,399,45,120,"1,271"
ualad09:Rushcliffe,"45,835","12,464","5,877","6,587","30,875","4,802","18,290","6,786","3,117","5,800","2,587",59,51,2,5,1,"4,208","2,474",777,783,174,"3,516","1,336",993,"1,187","2,496",357,339,291,106,"1,403"
"ualad09:Herefordshire, County of","78,319","22,540","11,209","11,331","50,933","8,811","27,881","11,580","4,362","7,384","4,555",85,75,4,4,2,"7,434","3,981","1,540","1,525",388,"6,722","2,544","1,730","2,448","4,846",924,696,44,320,"2,862"
ualad09:Shropshire,"129,674","37,540","18,077","19,463","85,442","14,284","47,053","19,242","7,448","12,360","8,003",143,121,9,6,7,"12,974","6,956","2,574","2,871",573,"10,988","3,820","2,890","4,278","6,692","1,251","1,066",49,493,"3,833"
ualad09:Stoke-on-Trent,"107,575","35,357","13,323","22,034","65,419","7,663","32,664","12,593","5,738","8,110","6,223",108,96,6,4,2,"11,928","5,457","3,002","2,823",646,"13,056","5,161","3,887","4,008","6,799","1,264","1,270",806,277,"3,182"
ualad09:Telford and Wrekin,"66,608","16,793","7,113","9,680","45,007","5,035","24,122","9,152","4,292","6,606","4,072",89,69,5,12,3,"7,951","3,793","1,731","2,028",399,"7,810","3,042","2,352","2,416","4,808","1,015",913,182,165,"2,533"
ualad09:Cannock Chase,"40,664","10,940","4,636","6,304","27,741","3,353","15,133","5,655","2,770","3,804","2,904",39,31,3,4,1,"5,117","2,452","1,237","1,165",263,"4,099","1,568","1,101","1,430","1,983",463,377,0,88,"1,055"
ualad09:East Staffordshire,"47,251","13,823","5,862","7,961","30,774","4,160","17,130","6,553","3,012","4,815","2,750",50,43,3,2,2,"4,858","2,579","1,027","1,008",244,"4,576","1,670","1,389","1,517","2,654",523,525,7,104,"1,495"
ualad09:Lichfield,"41,224","10,024","5,032","4,992","29,160","4,872","16,637","6,583","2,726","4,337","2,991",32,29,2,0,1,"4,238","2,199",884,913,242,"3,381","1,106",910,"1,365","2,040",438,376,2,123,"1,101"
ualad09:Newcastle-under-Lyme,"52,574","16,236","7,115","9,121","33,591","4,898","18,206","7,143","3,177","4,303","3,583",53,45,4,1,3,"5,413","2,535","1,303","1,296",279,"5,021","1,894","1,371","1,756","2,747",491,410,441,152,"1,253"
ualad09:South Staffordshire,"44,458","11,239","5,932","5,307","31,157","5,327","18,091","6,790","2,961","4,497","3,843",31,30,0,0,1,"4,019","2,012",849,909,249,"3,689","1,456",822,"1,411","2,062",462,381,0,114,"1,105"
ualad09:Stafford,"55,703","16,236","7,123","9,113","36,643","5,887","20,736","8,448","3,696","5,257","3,335",52,46,2,3,1,"5,313","2,911","1,103","1,065",234,"4,655","1,730","1,300","1,625","2,824",525,411,324,126,"1,438"
ualad09:Staffordshire Moorlands,"41,772","11,747","5,637","6,110","28,358","4,739","16,123","6,720","2,498","3,802","3,103",27,23,3,0,1,"3,950","1,964",883,880,223,"3,519","1,319",852,"1,348","1,667",413,281,1,112,860
ualad09:Tamworth,"31,617","8,246","3,434","4,812","21,606","2,393","11,823","4,466","2,007","3,094","2,256",26,23,2,1,0,"3,707","1,800",812,908,187,"3,657","1,417","1,111","1,129","1,765",437,320,2,48,958
